form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00686980,SB21B.4761,,,ORG,"CHARLES GROUP, LLC",,,,,,2897 Butterfield RoaD,#150,Oak Brook,IL,60523,,,2024-03-31,10250.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4758,,,ORG,COYLE CONSULTING,,,,,,3494 SABAKA TRAIL,,VERONA,WI,53593,,,2024-03-31,5213.76,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4759,,,ORG,"KAT CONSULTING, LLC",,,,,,246 Snelling Avenue,#507,St. Paul,MN,55105,,,2024-03-31,3754.55,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4736,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-01-29,135.35,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4738,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-01-31,39.40,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4739,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-02-12,520.08,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4740,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-02-27,494.30,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4741,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-03-04,256.10,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4746,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-03-11,435.02,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4748,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-03-18,41.02,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4749,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-03-31,20.51,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
SB21B,C00686980,SB21B.4750,,,ORG,"WINRED TECHNICAL SERVICES, LLC",,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22209,,,2024-03-31,130.02,,CREDIT CARD PROCESSING FEES,,,,,,,,,,,,,,,,,,,,
