form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00828483,SB21B.I23330,,,ORG,ANE STRATEGIES LLC,,,,,,2100 PGA BLVD APT 314,,NORTH PALM BEACH,FL,33408,,,2023-04-25,2090.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23299,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-04-11,75.30,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23300,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-04-13,75.30,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23363,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-04-25,328.17,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23399,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-04-29,38.93,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23409,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-04,75.30,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23422,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-06,75.30,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23441,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-16,124.05,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23442,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-17,19.05,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23472,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-19,37.80,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23473,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-23,124.05,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23474,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-05-24,9.68,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23516,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-04,37.80,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23517,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-06,75.30,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24548,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-19,375.60,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24549,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-21,124.05,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24589,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-22,180.60,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24598,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-25,4.05,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24599,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-27,19.05,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24632,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-29,30.91,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24633,,,ORG,"ANEDOT, INC.",,,,,,1340 POYDRAS ST STE 1770,,NEW ORLEANS,LA,70112,,,2023-06-30,40.30,,JFC CC TRANSACTION FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23359,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-04-19,250.00,,JFC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23443,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-05-16,250.00,,JFC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24588,,,ORG,CMDI,,,,,,"1593 SPRING HILL ROAD, SUITE 400",,TYSONS CORNER,VA,22182,,,2023-06-15,250.00,,JFC SOFTWARE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23320,,,ORG,"COLDSPARK MEDIA, INC.",,,,,,"307 FOURTH ST, 14TH FLOOR",14TH FLOOR,PITTSBURGH,PA,15222,,,2023-04-14,15000.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23319,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-04-14,10000.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23372,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-05-01,10000.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23420,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-05-09,5088.01,,JFC EVENT CATERING & TRAVEL EXPENSES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23458,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-05-19,6184.75,,JFC EVENT CATERING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23489,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-05-31,10000.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23506,,,ORG,IMPERIUM FUNDRAISING LLC,,,,,,499 SOUTH CAPITOL ST SW #405,,WASHINGTON,DC,20003,,,2023-06-02,10000.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I24614,,,ORG,"PROFESSIONAL DATA SERVICES, INC.",,,,,,824 S MILLEDGE AVE STE 101,,ATHENS,GA,30605,,,2023-06-29,1021.00,,JFC COMPLIANCE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00828483,SB21B.I23360,,,ORG,SCR & ASSOCIATES LLC,,,,,,100 TRADECENER,SUITE G-700,WOBURN,MA,01801,,,2023-04-25,5698.00,,JFC FUNDRAISING CONSULTING,,,,,,,,,,,,,  ,,,,,,,
