form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00702043,SB23.4237,,,PAC,"GOLDEN, JARED",,,,,,PO BOX 7108,,LEWISTON,ME,04240,P2023,,2023-05-12,1000.00,,,,,,H8ME02185,GOLDEN,JARED,,,,H,ME,02,,,,,,,,
SB23,C00702043,SB23.4228,,,CAN,,KATHERINE CLARK FOR CONGRESS,KATHERINE,,,,PO BOX 159,,BELMONT,MA,02478,P2023,,2023-05-12,1000.00,,,,,,H4MA05084,CLARK,KATHERINE,,,,H,MA,05,,,,,,,,
SB23,C00702043,SB23.4254,,,PAC,"KEATING, WILLIAM R",,,,,,10 BRIARWOOD LANE,,MONUMENT BEACH,MA,02553,P2023,,2023-05-12,1000.00,,,,,,H0MA10082,KEATING,WILLIAM R,,,,H,MA,09,,,,,,,,
SB23,C00702043,SB23.4241,,,PAC,"KUSTER FOR CONGRESS, INC",,,,,,PO BOX 1498,,CONCORD,NH,03302,P2023,,2023-05-12,1000.00,,,,C00462861,"KUSTER FOR CONGRESS, INC",,,,,,,,,,,,,,,,,
SB23,C00702043,SB23.4227,,,CAN,,LORI TRAHAN FOR CONGRESS,LORI,,,,PO BOX 1161,,LOWELL,MA,01853,P2023,,2023-05-12,1000.00,,,,,,H8MA03106,TRAHAN,LORI,,,,H,MA,03,,,,,,,,
SB23,C00702043,SB23.4232,,,PAC,MADISON PAC; THE,,,,,,235 STATE STREET #206,,SPRINGFIELD,MA,01103,P2023,,2023-05-12,1000.00,,,,C00426809,MADISON PAC; THE,,,,,,,,,,,,,,,,,
SB23,C00702043,SB23.4250,,,PAC,"MCGOVERN, JAMES P",,,,,,393 BURNCOAT STREET,,WORCESTER,MA,01606,P2023,,2023-05-12,1000.00,,,,,,H4MA03022,MCGOVERN,JAMES P,,,,H,MA,02,,,,,,,,
SB23,C00702043,SB23.4229,,,PAC,MOULTON FOR CONGRESS,,,,,,PO BOX 2013,,SALEM,MA,01970,P2023,,2023-05-12,1000.00,,,,,,H4MA06090,MOULTON,SETH,,,,H,MA,06,,,,,,,,
SB23,C00702043,SB23.4235,,,PAC,"PAPPAS, CHRIS",,,,,,PO BOX 313,,MANCHESTER,NH,03105,P2023,,2023-05-12,1000.00,,,,,,H8NH01210,PAPPAS,CHRIS,,,,H,NH,01,,,,,,,,
SB23,C00702043,SB23.4244,,,PAC,PINGREE FOR CONGRESS,,,,,,PO BOX 17613,,PORTLAND,ME,04112,P2023,,2023-05-12,1000.00,,,,C00433391,PINGREE FOR CONGRESS,,,,,,,,,,,,,,,,,
SB23,C00702043,SB23.4226,,,CAN,,PRESSLEY,AYANNA,,,,PO BOX 240912,,DORCHESTER CENTER,MA,02124,P2023,,2023-05-12,1000.00,,,,,,H8MA07032,PRESSLEY,AYANNA,,,,H,MA,07,,,,,,,,
SB23,C00702043,SB23.4231,,,PAC,STEPHEN LYNCH FOR CONGRESS,,,,,,169 W 8TH ST,,SOUTH BOSTON,MA,02127,G2023,,2023-05-12,1000.00,,,,,,H2MA09072,LYNCH,STEPHEN,,,,H,MA,08,,,,,,,,
