form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00758433,SB21B.5088,,,ORG,Barclays,,,,,,PO Box 60517,,City of Industry,CA,91716,O2024,Other,2024-05-21,5470.26,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.5088.0,SB21B.5088,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2024,Other,2024-04-30,938.54,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5088.1,SB21B.5088,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2024,Other,2024-04-30,428.50,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5088.2,SB21B.5088,SB21B,ORG,American Airlines,,,,,,PO Box 619616,,DFW Airport,TX,75261,O2024,Other,2024-05-17,2129.34,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5088.3,SB21B.5088,SB21B,ORG,American Airlines,,,,,,PO Box 619616,,DFW Airport,TX,75261,O2024,Other,2024-05-17,1973.88,,Airfare,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5078,,,ORG,Cardmember Service,,,,,,PO Box 1423,,Charlotte,NC,28201,O2024,Other,2024-04-10,6180.86,,Credit Card Payment,001,,,,,,,,,,,,,,,,,,,
SB21B,C00758433,SB21B.5078.0,SB21B.5078,SB21B,ORG,The Capital Grille,,,,,,601 Pennsylvania Ave NW,,Washington,DC,20004,O2024,Other,2024-02-08,1150.30,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5078.1,SB21B.5078,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2024,Other,2024-02-29,84.46,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5078.2,SB21B.5078,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2024,Other,2024-03-31,353.16,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5078.3,SB21B.5078,SB21B,ORG,Capitol Hill Club,,,,,,300 First St SE,,Washington,DC,20003,O2024,Other,2024-03-31,56.15,,Food/Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00758433,SB21B.5078.4,SB21B.5078,SB21B,ORG,American Airlines,,,,,,PO Box 619616,,DFW Airport,TX,75261,O2024,Other,2024-02-06,4536.79,,Airfare,,,,,,,,,,,,,,,,,,,X,
