form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00654186,B-731320,,,ORG,CFS Compliance,,,,,,PO BOX 30844,,Bethesda,MD,20824,,,2024-10-08,1150.00,,Compliance Consulting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731152,,,ORG,Delta Airlines,,,,,,P.O.Box 20706,,Atlanta,GA,30320,,,2024-10-12,458.47,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731153,,,ORG,Delta Airlines,,,,,,P.O.Box 20706,,Atlanta,GA,30320,,,2024-10-12,458.47,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731303,,,ORG,Delta Airlines,,,,,,P.O.Box 20706,,Atlanta,GA,30320,,,2024-10-15,708.48,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731304,,,ORG,Delta Airlines,,,,,,P.O.Box 20706,,Atlanta,GA,30320,,,2024-10-15,708.48,,Airfare,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731305,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,94107,,,2024-10-15,16.84,,Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731306,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,94107,,,2024-10-15,35.92,,Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731307,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,94107,,,2024-10-15,32.61,,Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731308,,,ORG,Lyft,,,,,,185 Berry St,Ste 5000,San Francisco,CA,94107,,,2024-10-15,25.11,,Transportation,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731310,,,ORG,Marriott Hotel,,,,,,75 South West Temple,,Salt Lake City,UT,84101,,,2024-10-16,193.23,,Lodging,002,,,,,,,,,,,,,,,,,,,
SB21B,C00654186,B-731311,,,ORG,Marriott Hotel,,,,,,75 South West Temple,,Salt Lake City,UT,84101,,,2024-10-16,193.23,,Lodging,002,,,,,,,,,,,,,,,,,,,
