form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00869024,PG1201,,,ORG,ANEDOT,,,,,,1340 Poydras St ,,NEW ORLEANS,LA,70112,,,2024-11-25,25358.50,,CREDIT CARD PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1237,,,ORG,ASHBY LAW,,,,,,602 CAMERON ST,,ALEXANDRIA,VA,22314,,,2024-11-07,2531.25,,LEGAL FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1227,,,ORG,AXCAPITAL,,,,,,655 METRO PL S,,DUBLIN,OH,43017,,,2024-10-28,750.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1228,,,ORG,AXCAPITAL,,,,,,655 METRO PL S,,DUBLIN,OH,43017,,,2024-11-21,5000.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1202,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-17,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1206,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-21,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1207,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-22,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1209,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-23,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1214,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-28,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1215,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-28,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1216,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-29,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1217,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-31,17.20,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1218,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-10-31,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1220,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-01,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1221,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-01,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1222,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-01,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1224,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-07,2.50,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1225,,,ORG,CHAIN BRIDGE BANK,,,,,,1455A LAUGHLIN AVE,,MCLEAN,VA,22101,,,2024-11-07,25.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1226,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-11-13,492.70,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1238,,,ORG,CMDI,,,,,,1593 SPRING HILL RD,,VIENNA,VA,22182,,,2024-11-15,500.00,,DATABASE SERVICES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1268,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-10-22,3238.48,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1269,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-10-28,13659.46,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1270,,,ORG,HighStarr Copy & Printing Services,,,,,,2661 MRIVA RD,,ANNAPOLIS,MD,21401,,,2024-11-07,3238.48,,PRINT EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1240,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-17,253666.60,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1241,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-21,143000.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1242,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-22,192174.20,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1243,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-23,194000.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1244,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-28,625000.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1245,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-29,283200.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1246,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-10-31,450000.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1248,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-11-01,50000.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1249,,,ORG,M2 PLACEMENT,,,,,,10065 E HARVARD AVE,,DENVER,CO,80231,,,2024-11-01,32500.00,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1230,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-10-23,60000.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1234,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-11-07,129686.39,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1236,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-11-25,9935.41,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1247,,,ORG,OSSOLA CONSULTING,,,,,,222 PRINCE GEORGE ST,,ANNAPOLIS,MD,21401,,,2024-11-01,60076.74,,FUNDRAISING AD BUY,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1250,,,ORG,"Red October Productions, Inc.",,,,,,1851 MCGUCKIAN ST,,ANNAPOLIS,MD,21401,,,2024-10-23,65580.24,,FUNDRAISING AD PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1251,,,ORG,"Red October Productions, Inc.",,,,,,1851 MCGUCKIAN ST,,ANNAPOLIS,MD,21401,,,2024-10-23,12505.13,,FUNDRAISING AD PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1252,,,ORG,"Red October Productions, Inc.",,,,,,1851 MCGUCKIAN ST,,ANNAPOLIS,MD,21401,,,2024-11-25,49917.66,,FUNDRAISING AD PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1229,,,ORG,SOCKO STRATEGIES,,,,,,,,,,,,,2024-10-18,9000.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1231,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-10-23,60000.00,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1232,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-11-01,60076.74,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1233,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-11-07,129686.39,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1235,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-11-25,9935.41,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1239,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-11-25,1690.81,,EVENT COSTS,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1271,,,ORG,WHEELERHOUSE LLC,,,,,,1851 3RD ST NW,,WASHINGTON,DC,20001,,,2024-11-01,12868.48,,TRAVEL EXPENSE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00869024,PG1212,,,ORG,WINRED,,,,,,,,,,,,,2024-10-24,-0.96,,BANK FEES,,,,,,,,,,,,,  ,,,,,,,
