form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00274431,49795825,,,CCM,Blake Moore For Congress,,,,,,358 South 700 E,B505,Salt Lake City,UT,84102,P2024,,2024-04-18,-2500.00,0.00,,011,C00738872,Blake Moore For Congress,,Moore,Blake,,Rep.,,H,UT,01,,,,,,,X,Re-designation on 04/18/2024
SB23,C00274431,50160351,,,CCM,Bera for Congress,,,,,,PO Box 582496,,Elk Grove,CA,95758,G2024,,2024-04-08,5000.00,0.00,Contribution,011,C00461061,Bera for Congress,H0CA03078,Bera,Amerish,,Rep.,,H,CA,06,,,,,,,,Contribution
SB23,C00274431,50160352,,,CCM,Matsui for Congress,,,,,,PO Box 1738,,Sacramento,CA,95812,G2024,,2024-04-08,5000.00,0.00,Contribution,011,C00409219,Matsui for Congress,H6CA05195,Matsui,Doris,,Rep.,,H,CA,07,,,,,,,,Contribution
SB23,C00274431,50160353,,,CCM,Dr. Raul Ruiz For Congress,,,,,,PO Box 1566,,Indio,CA,92202,G2024,,2024-04-08,2500.00,0.00,Contribution,011,C00502575,Dr. Raul Ruiz For Congress,H2CA36439,Ruiz,Raul,,Rep.,,H,CA,25,,,,,,,,Contribution
SB23,C00274431,50160354,,,CCM,Mike Thompson For Congress,,,,,,5445 Madison Avenue,,Sacramento,CA,95841,G2024,,2024-04-08,5000.00,0.00,Contribution,011,C00326363,Mike Thompson For Congress,H8CA01109,Thompson,Mike,,Rep.,,H,CA,04,,,,,,,,Contribution
SB23,C00274431,50160355,,,CCM,Latta For Congress,,,,,,PO Box 106,,Bowling Green,OH,43402,G2024,,2024-04-08,5000.00,0.00,Contribution,011,C00438697,Latta For Congress,H8OH05036,Latta,Robert,Edward,Rep.,,H,OH,05,,,,,,,,Contribution
SB23,C00274431,50160356,,,CCM,Hern For Congress,,,,,,9521-B Riverside Pkwy,#350,Tulsa,OK,74137,G2024,,2024-04-08,2500.00,0.00,Contribution,011,C00636092,Hern For Congress,,Hern,Kevin,,Rep.,,H,OK,01,,,,,,,,Contribution
SB23,C00274431,50160357,,,PAC,Mr. Southern Missourian in the House PAC,,,,,,PO Box 30844,,Bethesda,MD,20824,,,2024-04-08,5000.00,0.00,Contribution,011,C00563726,,,,,,,,,,,,,,,,,,Contribution
SB23,C00274431,50160358,,,PAC,Help Elect Republicans Now,,,,,,555 Metro Place S,Ste. 525,Dublin,OH,43017,,,2024-04-08,5000.00,0.00,Contribution,011,C00692715,,,,,,,,,,,,,,,,,,Contribution
SB23,C00274431,50160395,,,PAC,BRETTPAC - The Leadership PAC of U.S. Representative Brett Guthrie,,,,,,PO Box 22401,,Louisville,KY,40252,,,2024-04-08,5000.00,0.00,Contribution,011,C00483487,,,,,,,,,,,,,,,,,,Contribution
