form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00793000,SB29.4537,,,ORG,Bay Woods LLC,,,,,,4138 Mt Maria Rd,,Lake Hubbard,MI,49747,,,2024-10-29,3500.00,,Non-Contribution Account: Rent,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4535,,,ORG,Consumers Energy,,,,,,1 Energy Plaza,,Jackson,MI,49201,,,2024-10-11,137.10,,Non-Contribution Account: Utilities,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4538,,,ORG,DTE Energy,,,,,,1 Energy Plaza,,Detroit,MI,48226,,,2024-10-31,63.15,,Non-Contribution Account: Utilities,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4521,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-10-01,36.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4522,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-10-01,13.41,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4523,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-11-01,36.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4524,,,ORG,Google LLC,,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,,,2024-11-04,13.46,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4525,,,ORG,"Gusto, Inc.",,,,,,525 20th St,,San Francisco,CA,94107,,,2024-10-03,40.00,,Non-Contribution Account: Payroll Services,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4526,,,ORG,"Gusto, Inc.",,,,,,525 20th St,,San Francisco,CA,94107,,,2024-11-05,40.00,,Non-Contribution Account: Payroll Services,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4530,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-10-07,47.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4532,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-10-28,7.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4531,,,ORG,NationBuilder,,,,,,529 S Grand Ave,2nd Floor,Los Angeles,CA,90071,,,2024-11-06,47.00,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4536,,,ORG,"Squarespace, Inc.",,,,,,225 Varick St,12th Floor,New York,NY,10014,,,2024-10-28,276.00,,Non-Contribution Account: Web Services,001,,,,,,,,,,,,,,,,,,,
SB29,C00793000,SB29.4534,,,ORG,Zapier,,,,,,548 Market St,,San Francisco,CA,94104,,,2024-10-08,29.99,,Non-Contribution Account: Software,,,,,,,,,,,,,,,,,,,,
