form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00494617,SB21B.I38406,,,ORG,FULFILLMENT SOLUTIONS INC.,,,,,,"44970 FALCON PLACE, STE. 400",,STERLING,VA,20166,,,2024-10-17,5332.04,,DIRECT MAIL PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38407,,,ORG,HSP DIRECT,,,,,,21030 LAKEVIEW CENTER PLAZA,,ASHBURN,VA,20147,,,2024-10-17,1523.45,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38416,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-10-17,2029.50,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38399,,,ORG,ANEDOT,,,,,,P.O. BOX 84314,,BATON ROUGE,LA,70884,,,2024-10-23,185.74,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38420,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-23,339.91,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38408,,,ORG,HSP DIRECT,,,,,,21030 LAKEVIEW CENTER PLAZA,,ASHBURN,VA,20147,,,2024-10-24,32400.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38421,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-24,46.16,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38422,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-25,48.86,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38423,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-28,210.56,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38424,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-29,802.76,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38425,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-30,194.20,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38400,,,ORG,ANEDOT,,,,,,P.O. BOX 84314,,BATON ROUGE,LA,70884,,,2024-10-31,241.96,,ONLINE PROCESSING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38413,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-10-31,7326.09,,DIRECT MAIL LIST ACQUISITION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38417,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-10-31,1993.74,,DIRECT MAIL PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38419,,,ORG,PLANET DIRECT,,,,,,11050 CHALLENGER COURT,,MANASSAS,VA,20109,,,2024-10-31,47568.65,,DIRECT MAIL PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38426,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-10-31,165.44,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38427,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-01,131.60,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38428,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-04,137.24,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38429,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-05,175.88,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38430,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-05,118.44,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38431,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-06,124.88,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38403,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-11-07,328.97,,CAGING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38409,,,ORG,HSP DIRECT,,,,,,21030 LAKEVIEW CENTER PLAZA,,ASHBURN,VA,20147,,,2024-11-07,5923.69,,DIRECT MAIL PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38411,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,201669211,,,2024-11-07,5896.52,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38414,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-11-07,3254.17,,DIRECT MAIL LIST ACQUISITION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38418,,,ORG,ONPOINT DATA STRATEGY LLC,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-11-07,761.84,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38432,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-07,58.28,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38433,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-08,88.36,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38434,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-12,109.32,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38405,,,ORG,EAGLE BANK,,,,,,8245 BOONE BOULEVARD,,TYSONS,VA,22182,,,2024-11-13,2222.70,,BANK CHARGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38435,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-13,144.76,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38404,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPER ST,,ARLINGTON,VA,22207,,,2024-11-14,418.43,,CAGING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38410,,,ORG,HSP DIRECT,,,,,,21030 LAKEVIEW CENTER PLAZA,,ASHBURN,VA,20147,,,2024-11-14,5400.00,,DATA MANAGEMENT,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38412,,,ORG,MDI IMAGING & MAIL,,,,,,21955 CASCADES PARKWAY,,DULLES,VA,201669211,,,2024-11-14,18028.13,,DIRECT MAIL PRODUCTION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38415,,,ORG,NOVA LIST,,,,,,"20130 LAKEVIEW CENTER PLAZA, SUITE",,ASHBURN,VA,20147,,,2024-11-14,3266.82,,DIRECT MAIL LIST ACQUISITION,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38436,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-14,15.04,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38437,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-19,24.44,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00494617,SB21B.I38438,,,ORG,US POSTMASTER,,,,,,POSTAL SERVICE,,MIAMI,FL,33101,,,2024-11-20,9.40,,DIRECT MAIL POSTAGE,,,,,,,,,,,,,  ,,,,,,,
