form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00741041,SB21B.7390,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-07-21,58.33,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7391,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-07-28,5.01,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7398,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,02144,,,2024-07-31,0.28,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7402,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2024-07-31,5.00,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7403,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,20006,,,2024-07-31,1.75,,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7411,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,,,2024-07-03,494.06,,Staff Time,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7427,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,P2024,,2024-07-03,1123.22,,In-Kind: Staff Time,,,,H8MO01143,Bush,Cori,,,,H,MO,01,,,,,,,X,
SB21B,C00741041,SB21B.7421,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,,,2024-07-25,335.39,,Staff Time,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7428,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,P2024,,2024-07-25,1380.73,,In-Kind: Staff Time,,,,H8MO01143,Bush,Cori,,,,H,MO,01,,,,,,,X,
SB21B,C00741041,SB21B.7429,,,ORG,IfNotNow Movement,,,,,,PO Box 170285,,Brooklyn,NY,11217,P2024,,2024-07-25,20.19,,In-Kind: Staff Time,,,,H8MN05239,Omar,Ilhan,,,,H,MN,05,,,,,,,X,
SB21B,C00741041,SB21B.7409,,,ORG,Left Ledger,,,,,,1835 7th St NW,#203,Washington,DC,20001,,,2024-07-22,187.50,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7410,,,ORG,Left Ledger,,,,,,1835 7th St NW,#203,Washington,DC,20001,,,2024-07-25,450.00,,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00741041,SB21B.7405,,,ORG,"Trister, Ross, Schadler, and Gold, PLLC",,,,,,"1666 Connecticut Ave, NW",#5,Washington,DC,20009,,,2024-07-17,251.25,,Legal Services,,,,,,,,,,,,,,,,,,,,
