form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00489799,500694149,,,ORG,50+1 Strategies,,,,,,PO Box 358,,San Francisco,CA,941040358,,,2024-11-08,8750.00,0.00,Non-Candidate Specific Mail Piece Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694301,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-17,0.68,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694302,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-18,0.98,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694303,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-20,2.61,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694304,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-22,0.78,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694305,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-23,14.56,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694306,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-25,2.86,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694307,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-28,0.73,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694308,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-29,125.60,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694309,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-30,138.70,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694310,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-10-31,13.10,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694312,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-02,0.60,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694313,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-03,0.73,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694314,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-05,0.31,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694316,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-06,0.31,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694317,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-07,1.36,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694318,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-09,2.73,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694319,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-10,0.56,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694320,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-13,1.05,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694321,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-15,6.85,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694322,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-17,0.68,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694323,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-18,0.98,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694324,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-19,0.50,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694325,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-22,0.78,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694326,,,ORG,American Express Merchant Services,,,,,,PO Box 53852,,Phoenix,AZ,850723852,,,2024-11-23,1.91,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694079,,,ORG,"APISource, Inc.",,,,,,4471 Nicole Dr,,Lanham,MD,207064352,,,2024-10-29,27554.83,0.00,Non-Candidate Specific Swag,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694087,,,ORG,Bank of America,,,,,,PO Box 27025,,Richmond,VA,232617025,,,2024-11-04,65.11,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694088,,,ORG,Bank of America,,,,,,PO Box 27025,,Richmond,VA,232617025,,,2024-11-04,7.25,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694065,,,ORG,ChangeSprout Inc.,,,,,,PO Box 1194,,Hudson,NY,125340308,,,2024-10-23,1985.88,0.00,Software Licensing,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694123,,,ORG,Civis Analytics Inc.,,,,,,PO Box 4042,,Chicago,IL,606544042,,,2024-11-05,85.74,0.00,Software Licensing,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694151,,,ORG,Civis Analytics Inc.,,,,,,PO Box 4042,,Chicago,IL,606544042,,,2024-11-14,452.38,0.00,Software Licensing,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694096,,,ORG,"Get Vocal, PBC",,,,,,806 Angelus Pl,,Venice,CA,902914921,,,2024-10-17,9800.00,0.00,Non-Candidate Specific Social Media Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694124,,,ORG,"Get Vocal, PBC",,,,,,806 Angelus Pl,,Venice,CA,902914921,,,2024-11-05,70000.00,0.00,Non-Candidate Specific Social Media Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694147,,,IND,,Hanks,Michelle,,,,171 Starr St,Apt 4L,Brooklyn,NY,112372818,,,2024-11-07,2000.00,0.00,Photography Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694069,,,ORG,"Hustle, Inc.",,,,,,251 Kearny St,Ste 300,San Francisco,CA,941084547,,,2024-10-24,22681.25,0.00,Software Licensing,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694146,,,ORG,"Lebin Yates Consulting, LLC",,,,,,PO Box 41112,,Austin,TX,787040019,,,2024-11-07,3652.26,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694071,,,IND,,McKay,Sarah,,,,Address Requested,,New York,NY,10038,,,2024-10-24,180.00,0.00,Non-Candidate Specific Digital Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694070,,,ORG,Moore Response Services Inc,,,,,,100 Jamison Ct,,Hagerstown,MD,217405185,,,2024-10-24,1453.51,0.00,Mail Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694154,,,ORG,"NGP VAN, Inc.",,,,,,1101 15th St NW,Ste 500,Washington,DC,200055006,,,2024-11-19,7462.50,0.00,Software Licensing,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694086,,,ORG,Paragon Payment Solutions,,,,,,2141 E Broadway Rd,Ste 202,Tempe,AZ,852821895,,,2024-11-04,887.78,0.00,Merchant Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694196,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-18,-2299.38,0.00,"Draw Down Against Advance for In-Kinds, See Line 23",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694275,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-18,-58.98,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694276,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-18,-412.86,0.00,"Draw Down Against Advance for Staff Time for Non-Federal Voter Communications, See Line 29",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694278,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-21,-118.68,0.00,"Draw Down Against Advance for Staff Time for Non-Federal Voter Communications, See Line 29",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694279,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-21,-22425.07,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694280,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-23,-58.98,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694282,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-23,-412.86,0.00,"Draw Down Against Advance for Staff Time for Non-Federal Voter Communications, See Line 29",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694284,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-25,-4099.86,0.00,"Draw Down Against Advance for Staff Time for Non-Federal Voter Communications, See Line 29",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694197,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-26,-123.18,0.00,"Draw Down Against Advance for In-Kinds, See Line 23",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694285,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-27,-1140.84,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694287,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-28,-17442.00,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694164,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-10-31,-3322.62,0.00,"Draw Down Against Advance for In-Kinds, See Line 23",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694158,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-01,-516.27,0.00,"Draw Down Against Advance for Non-Federal In-Kind, See Line 29",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694174,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-01,-258.14,0.00,"Draw Down Against Advance for In-Kind, See Line 23",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694289,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-01,-2081.79,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694290,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-02,-1079.89,0.00,"Draw Down Against Advance for Staff Time for Voter Communications, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694199,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-03,-449.20,0.00,"Draw Down Against Advance for In-Kinds, See Line 23",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694163,,,ORG,"Planned Parenthood Action Fund, Inc.",,,,,,123 William St,,New York,NY,100383804,,,2024-11-05,-11106.08,0.00,"Draw Down Against Advance for In-Kinds, See Line 23",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694331,,,ORG,Precision Strategies LLC,,,,,,901 New York Ave NW,Ste 530,Washington,DC,200015147,,,2024-10-17,-45000.00,0.00,"Draw Down Against Advance Payment for Radio Ads, See Sched. E",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694122,,,IND,,Rosenblum,Andrew,,,,409 48th St,,Oakland,CA,946092126,,,2024-11-05,257.58,0.00,Editorial Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694060,,,ORG,RWT Production LLC,,,,,,8932 Orange Hunt Ln,,Annandale,VA,220034125,,,2024-10-17,405.18,0.00,"Non-Candidate Specific Mail Piece Production, Printing and Postage",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694148,,,ORG,RWT Production LLC,,,,,,8932 Orange Hunt Ln,,Annandale,VA,220034125,,,2024-11-08,250.45,0.00,"Non-Candidate Specific Mail Piece Production, Printing and Postage",,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694152,,,IND,,Stephens,Marcus,,,,215 Randolph Pl NE,Unit 1,Washington,DC,200022138,,,2024-11-14,625.00,0.00,Non-Candidate Specific Digital Design Consulting Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694156,,,ORG,The Pivot Group,,,,,,1015 15th St NW,Ste 600,Washington,DC,200052605,,,2024-11-02,1500.00,0.00,Non-Candidate-Specific Production and Printing of Walking Cards,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694075,,,ORG,"The Raben Group, LLC",,,,,,525 9th St NW,Fl 7,Washington,DC,200042157,,,2024-10-25,2500.00,0.00,Strategic Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694126,,,ORG,"The Raben Group, LLC",,,,,,525 9th St NW,Fl 7,Washington,DC,200042157,,,2024-11-05,15000.00,0.00,Strategic Communications Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694153,,,ORG,"Trister, Ross, Schadler and Gold PLLC",,,,,,1666 Connecticut Ave NW,Ste 5,Washington,DC,200091039,,,2024-11-14,1783.75,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,500694155,,,ORG,"Trister, Ross, Schadler and Gold PLLC",,,,,,1666 Connecticut Ave NW,Ste 5,Washington,DC,200091039,,,2024-11-21,83.75,0.00,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00489799,5715721I,5715721,SA11C,PAC,Vote Rev PAC,,,,,,611 Pennsylvania Ave SE,Num 143,Washington,DC,200034303,,,2024-10-23,309.75,0.00,Training Materials,,C00685628,,,,,,,,,,,,,,,,,,* In-Kind Received
