form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00839894,B-64745,,,ORG,10x10 Studios,,,,,,221 Seaman Ave Apt B8,,New York,NY,10034,G2024,,2023-09-18,900.00,,Bank Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64565,,,ORG,A Rubber Duck CO,,,,,,7812 Redwood Ave.,,Fayetteville,NC,28314,G2024,,2023-07-27,800.00,,Video Productions,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64555,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-07-09,138.09,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64554,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-07-16,153.71,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64553,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-07-23,173.70,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64552,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-07-30,172.77,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64551,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-07-31,30.83,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64550,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-08-06,258.93,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64884,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-08-13,415.83,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64883,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-08-20,270.51,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64882,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-08-27,274.79,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64564,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-08-31,133.64,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64563,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-09-03,70.89,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64562,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-09-10,175.72,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00839894,B-64561,,,ORG,Act Blue,,,,,,PO Box 445525,,Somerville,MA,02158,G2024,,2023-09-17,87.81,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
