form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00448373,SB29.I18205,,,ORG,DOLLY HENLEY FOR STATE REPRESENTATIVE,,,,,,PO BOX 128,,WASHINGTON,AR,71862,G2024,,2024-09-16,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18204,,,ORG,FITCH FOR MISSISSIPPI,,,,,,PO BOX 4140,,TUPELO,MS,38803,G2024,,2024-09-16,5000.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17870,,,CCM,CARLTON WING FOR STATE REPRESENTATIVE,,,,,,17 DOVE CREEK CIRCLE,,NORTH LITTLE ROCK,AR,72116,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,WING,CARLTON,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17868,,,COM,CAMERON COOPER FOR STATE REP,,,,,,295 BURL COOPER RD,,ROMANCE,AR,72136,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17866,,,ORG,ALYSSA BROWN FOR STATE REP,,,,,,PO BOX 1231,,HEBER SPRINGS,AR,72543,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I18206,,,ORG,KARILYN BROWN FOR STATE REPRESENTATIVE,,,,,,P.O. BOX 6677,,SHERWOOD,AR,72124,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17865,,,ORG,KEITH BROOKS FOR STATE REP,,,,,,1016 BOULDER DR.,,LITTLE ROCK,AR,72210,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17867,,,ORG,KIM SLAUGHTER FOR STATE REPRESENTATIVE,,,,,,34 SYLVIA ROAD,,CONWAY,AR,72032,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17869,,,ORG,TAMMI NORTHCUTT BELL FOR STATE REP,,,,,,206 ROOSEVELT AVENUE,,WEST MEMPHIS,AR,72301,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,,,,,,,,,  ,,,,,,,
SB29,C00448373,SB29.I17864,,,PAC,DAN SULLIVAN FOR ARKANSAS,,,,,,PO BOX 19406,,JONESBORO,AR,72403,G2024,,2024-09-18,3300.00,,CAMPAIGN CONTRIBUTION,,,,,SULLIVAN,DAN,,,,,,,  ,,,,,,,
