form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00753327,SB23.4703,,,PAC,Chutz PAC,,,,,,PO Box 15320,,Washington,DC,20003,,,2023-09-28,1000.00,,Contribution,,C00834762,,,,,,,,,,,,,,,,,,
SB23,C00753327,SB23.4699,,,CCM,Julie Johnson for Congress,,,,,,PO Box 802765,,Dallas,TX,75380,P2024,,2023-08-29,2500.00,,Contribution,,C00843003,Julie Johnson for Congress,H4TX32089,Johnson,Julie,,,,H,TX,32,,,,,,,,
SB23,C00753327,SB23.4700,,,CCM,Julie Johnson for Congress,,,,,,PO Box 802765,,Dallas,TX,75380,P2024,,2023-09-14,1500.00,,Contribution,,C00843003,Julie Johnson for Congress,H4TX32089,Johnson,Julie,,,,H,TX,32,,,,,,,,
SB23,C00753327,SB23.4701,,,CCM,Julie Johnson for Congress,,,,,,PO Box 802765,,Dallas,TX,75380,P2024,,2023-09-26,1000.00,,Contribution,,C00843003,Julie Johnson for Congress,H4TX32089,Johnson,Julie,,,,H,TX,32,,,,,,,,
SB23,C00753327,SB23.4702,,,CCM,Julie Johnson for Congress,,,,,,PO Box 802765,,Dallas,TX,75380,G2024,,2023-09-26,500.00,,Contribution,,C00843003,Julie Johnson for Congress,H4TX32089,Johnson,Julie,,,,H,TX,32,,,,,,,,
SB23,C00753327,SB23.4758,,,CCM,Julie Johnson for Congress,,,,,,PO Box 802765,,Dallas,TX,75380,G2024,,2023-12-28,3300.00,,Contribution,,C00843003,Julie Johnson for Congress,H4TX32089,Johnson,Julie,,,,H,TX,32,,,,,,,,
SB23,C00753327,SB23.4704,,,PAC,Mainstream PAC,,,,,,"C/O Contribution Solutions, LLC",1346 The Alameda #7-380,San Jose,CA,95126,,,2023-12-13,5000.00,,,,C00343574,,,,,,,,,,,,,,,,,,
SB23,C00753327,SB23.4761,,,CCM,Mark Takano for Congress,,,,,,PO Box 5214,,Riverside,CA,92517,P2024,,2023-12-31,1500.00,,Contribution,,C00498667,Mark Takano for Congress,H2CA43245,Takano,Mark,,,,H,CA,39,,,,,,,,
SB23,C00753327,SB23.4705,,,CCM,Vogel for Congress,,,,,,PO Box 906,,Gaithersburg,MD,20884,P2024,,2023-08-29,2000.00,,Contribution,,C00839704,Vogel for Congress,H4MD06225,Vogel,Joseph,,,,H,MD,06,,,,,,,,
SB23,C00753327,SB23.4706,,,CCM,Vogel for Congress,,,,,,PO Box 906,,Gaithersburg,MD,20884,P2024,,2023-09-14,1300.00,,Contribution,,C00839704,Vogel for Congress,H4MD06225,Vogel,Joseph,,,,H,MD,06,,,,,,,,
SB23,C00753327,SB23.4707,,,CCM,Vogel for Congress,,,,,,PO Box 906,,Gaithersburg,MD,20884,P2024,,2023-09-26,1500.00,,Contribution,,C00839704,Vogel for Congress,H4MD06225,Vogel,Joseph,,,,H,MD,06,,,,,,,,
SB23,C00753327,SB23.4781,,,CCM,Vogel for Congress,,,,,,PO Box 906,,Gaithersburg,MD,20884,P2024,,2023-12-31,200.00,,Contribution,,C00839704,Vogel for Congress,H4MD06225,Vogel,Joseph,,,,H,MD,06,,,,,,,,
SB23,C00753327,SB23.4782,,,CCM,Vogel for Congress,,,,,,PO Box 906,,Gaithersburg,MD,20884,G2024,,2023-12-31,1300.00,,Contribution,,C00839704,Vogel for Congress,H4MD06225,Vogel,Joseph,,,,H,MD,06,,,,,,,,
