form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00299396,SB29.6375,,,ORG,Allison O'Brien Photography,,,,,,1820 Judicial Way,,Crofton,MD,21114,,,2023-10-30,823.00,,Event Photography - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6354,,,ORG,Erickson & Company,,,,,,"38 Ivy Street, SE",,Washington,DC,20003,,,2023-07-26,5000.00,,Fundraising Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6371,,,ORG,Erickson & Company,,,,,,"38 Ivy Street, SE",,Washington,DC,20003,,,2023-10-25,5000.00,,Fundraising Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6380,,,ORG,Erickson & Company,,,,,,"38 Ivy Street, SE",,Washington,DC,20003,,,2023-11-30,5000.00,,Fundraising Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6350,,,ORG,Fulton Street Collective,,,,,,1821 W Hubbard St,,Chicago,IL,60622,,,2023-07-11,6000.00,,Space Rental - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6366,,,ORG,National Democratic Club,,,,,,30 Ivy Street SE,,Washington,DC,20003,,,2023-10-05,1844.52,,Catering - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6357,,,ORG,NGP VAN Inc.,,,,,,"655 15th Street, NW",Suite 650,Washington,DC,20005,,,2023-08-16,281.11,,Database - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6378,,,ORG,NGP VAN Inc.,,,,,,"655 15th Street, NW",Suite 650,Washington,DC,20005,,,2023-11-22,295.17,,Database - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6369,,,ORG,Omni Shoreham Hotel,,,,,,2500 Calvert St NW,,Washington,DC,20008,,,2023-10-16,1615.63,,Catering - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6386,,,ORG,Patuxent Consulting,,,,,,555 11th Street NW,,Washington,DC,20004,,,2023-12-23,76.49,,"Phones, Printing, Software - IE Only Account",,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6387,,,ORG,Patuxent Consulting,,,,,,555 11th Street NW,,Washington,DC,20004,,,2023-12-23,46.83,,"Phones, Printing, Software - IE Only Account",,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6352,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2023-07-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6356,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2023-08-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6364,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2023-09-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6368,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2023-10-16,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6377,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2023-11-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6382,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2023-12-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6355,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2023-08-07,4186.00,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6363,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2023-09-05,4212.89,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6376,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2023-11-06,4479.98,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6381,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2023-12-01,3919.11,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
