form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00570945,SB.5885,,,CCM,ASHLEY HINSON FOR CONGRESS,,,,,,PO BOX 811,,MARION,IA,52302,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00706267,,,HINSON,ASHLEY,,,,H,IA,02,  ,,,,,,,
SB23,C00570945,SB.5872,,,CCM,DESPOSITO FOR NEW YORK,,,,,,PO BOX 188,,ISLAND PARK,NY,11558,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00809426,,,DESPOSITO,ANTHONY,,,,H,NY,04,  ,,,,,,,
SB23,C00570945,SB.5892,,,CCM,DESPOSITO FOR NEW YORK,,,,,,PO BOX 188,,ISLAND PARK,NY,11558,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00809426,,,DESPOSITO,ANTHONY,,,,H,NY,04,  ,,,,,,,
SB23,C00570945,SB.5873,,,CCM,KIGGANS FOR CONGRESS,,,,,,PO BOX 5042,,VIRGINIA BEACH,VA,23471,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00776120,,,KIGGANS,JENNIFER,,,,H,VA,02,  ,,,,,,,
SB23,C00570945,SB.5902,,,CCM,KIGGANS FOR CONGRESS,,,,,,PO BOX 5042,,VIRGINIA BEACH,VA,23471,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00776120,,,KIGGANS,JENNIFER,,,,H,VA,02,  ,,,,,,,
SB23,C00570945,SB.5874,,,CCM,LALOTA FOR CONGRESS,,,,,,PO BOX 5744,,HAUPPAUGE,NY,11788,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00806018,,,LALOTA,NICK,,,,H,NY,01,  ,,,,,,,
SB23,C00570945,SB.5903,,,CCM,LALOTA FOR CONGRESS,,,,,,PO BOX 5744,,HAUPPAUGE,NY,11788,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00806018,,,LALOTA,NICK,,,,H,NY,01,  ,,,,,,,
SB23,C00570945,SB.5875,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SAOUTH SALEM,NY,10590,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00815415,,,LAWLER,MIKE,,,,H,NY,17,  ,,,,,,,
SB23,C00570945,SB.5905,,,CCM,LAWLER FOR CONGRESS,,,,,,PO BOX 87,,SAOUTH SALEM,NY,10590,P2024,,2023-02-28,5000.00,,CONTRIBUTION PRIMARY 2024,,C00815415,,,LAWLER,MIKE,,,,H,NY,17,  ,,,,,,,
SB23,C00570945,SB.5876,,,CCM,LORI CHAVEZ-DEREMER FOR CONGRESS,,,,,,13203 SE 172ND AVENUE SUITE 166 #3,,HAPPY VALLEY,OR,97086,G2024,,2023-02-28,5000.00,,CONTRIBUTION GENERAL 2024,,C00784520,,,CHAVEZ-DEREMER,LORI,,,,H,OR,05,  ,,,,,,,
