form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00029447,500016898,,,CCM,ANN WAGNER FOR CONGRESS,,,,,,PO Box 50,,Ballwin,MO,630220050,P2024,,2023-09-28,1500.00,0.00,Contribution,,C00495846,,,WAGNER,ANN L.,,,,H,MO,02,,,,,,,,
SB23,C00029447,500016906,,,CCM,BARRAGAN FOR CONGRESS,,,,,,1840 S Gaffey St,# 421,San Pedro,CA,907315324,G2024,,2023-09-28,2500.00,0.00,Contribution,,C00577353,,,BARRAGAN,NANETTE,,,,H,CA,44,,,,,,,,
SB23,C00029447,500016857,,,CCM,Becca Balint for Vermont,,,,,,PO Box 291,,Burlington,VT,054020291,P2024,,2023-09-14,2500.00,0.00,Contribution,,C00797175,,,BALINT,REBECCA,BECCA,,,H,VT,00,,,,,,,,
SB23,C00029447,500016908,,,CCM,BLUMENAUER FOR CONGRESS,,,,,,901 SE Oak St,Ste 105,Portland,OR,972141351,P2024,,2023-09-28,2500.00,0.00,Contribution,,C00307314,,,BLUMENAUER,EARL,,,,H,OR,03,,,,,,,,
SB23,C00029447,500016900,,,CCM,BOB CASEY FOR SENATE INC,,,,,,PO Box 58746,,Philadelphia,PA,191028746,G2024,,2023-09-28,5000.00,0.00,Contribution,,C00431056,,,CASEY,ROBERT,P,,JR,S,PA,,,,,,,,,
SB23,C00029447,500016854,,,CCM,BONNIE WATSON COLEMAN FOR CONGRESS,,,,,,918 Pennsylvania Ave SE,,Washington,DC,200032140,P2024,,2023-09-14,2500.00,0.00,Contribution,,C00558437,,,COLEMAN,BONNIE WATSON,,,,H,NJ,12,,,,,,,,
SB23,C00029447,500016851,,,CCM,Bowman For Congress,,,,,,81 Pondfield Rd,Ste D351,Bronxville,NY,107083818,P2024,,2023-09-14,2000.00,0.00,Contribution,,C00709196,,,BOWMAN,JAMAAL,,,,H,NY,16,,,,,,,,
SB23,C00029447,500016869,,,CCM,BRITTANY PETTERSEN FOR COLORADO,,,,,,PO Box 150887,,Lakewood,CO,802150887,G2024,,2023-09-14,1000.00,0.00,Contribution,,C00637215,,,PETTERSEN,BRITTANY,,,,H,CO,07,,,,,,,,
SB23,C00029447,500016893,,,PAC,CA LUV PAC (CALIFORNIA LEADERSHIP UNITED FOR VICTORY PAC),,,,,,499 S Capitol St SW,Ste 420,Washington,DC,200034027,,,2023-09-28,2500.00,0.00,Contribution,,C00573709,CA LUV PAC (CALIFORNIA LEADERSHIP UNITED FOR VICTORY PAC),,,,,,,,,,,,,,,,,
SB23,C00029447,500016859,,,CCM,CARTWRIGHT FOR CONGRESS,,,,,,PO Box 414,,Scranton,PA,185010414,P2024,,2023-09-14,2500.00,0.00,Contribution,,C00509968,,,CARTWRIGHT,MATTHEW A.,,,,H,PA,08,,,,,,,,
