form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00756452,SB29.4134,,,ORG,GoDaddy.Com,,,,,,2155 E Go Daddy Way,,Tempe,AZ,85284,,,2023-10-18,260.16,,Website Services/Domain,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4133,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-10-12,3.99,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4136,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-10-20,4.95,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4137,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-10-23,28.00,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4139,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-11-09,3.99,,Advertising/Website Services,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4140,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-11-10,12.00,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4142,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-11-13,3.99,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4143,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-11-14,6.00,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4144,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-11-20,4.95,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4145,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-11-24,28.00,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4147,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-12-11,3.99,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4148,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-12-11,12.00,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4149,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-12-11,7.20,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4150,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-12-12,3.99,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4151,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-12-20,4.95,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
SB29,C00756452,SB29.4152,,,ORG,"Wix.com, Inc. ",,,,,,500 Terry A Francois Blvd. ,Floor 6,San Francisco,CA,94158,,,2023-12-26,28.00,,Advertising/Website Cost,004,,,,,,,,,,,,,,,,,,,
