form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00692137,500400821,,,ORG,Blue Wave Political Partners,,,,,,119 1St Ave S,Ste 320,Seattle,WA,981043424,,,2024-08-09,1000.00,0.00,Compliance Services,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400822,,,ORG,Intuit,,,,,,2700 Coast Ave,,Mountain View,CA,940431140,,,2024-08-29,63.60,0.00,Noncontribution Account - Subscription,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400829,,,ORG,NGP VAN,,,,,,1445 New York Ave NW,Ste 200,Washington,DC,200052158,,,2024-08-07,1026.51,0.00,Noncontribution Account - Software,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400828,,,ORG,Personified Tech,,,,,,1511 Route 22,Ste 110,Brewster,NY,105094020,,,2024-08-09,1300.00,0.00,IT Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400826,,,ORG,Sandler Reiff,,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2024-08-05,250.00,0.00,Legal Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400827,,,ORG,Sandler Reiff,,,,,,1090 Vermont Ave NW,Ste 750,Washington,DC,200054970,,,2024-08-15,200.00,0.00,Legal Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400832,,,ORG,Tall Poppy LLC,,,,,,3026 Wicklow Rd,,Columbus,OH,432042554,,,2024-08-02,1700.00,0.00,Noncontribution Account - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400834,,,ORG,Tall Poppy LLC,,,,,,3026 Wicklow Rd,,Columbus,OH,432042554,,,2024-08-27,1700.00,0.00,Noncontribution Account - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400844,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-08-02,174.50,0.00,Communication Consulting Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400845,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-08-05,297.87,0.00,Accounting Services Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400846,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-08-05,483.74,0.00,Accounting Services Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400847,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-08-14,2323.30,0.00,Communication Consulting Allocation,,,,,,,,,,,,,,,,,,,,
SB29,C00692137,500400843,,,ORG,Vote Mama Action Fund,,,,,,PO Box 694,,Amityville,NY,117010694,,,2024-08-15,24182.72,0.00,Staff Salary Allocation,,,,,,,,,,,,,,,,,,,,
