form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00010322,15868414,,,PTY,Kentucky Democratic Party,,,,,,P.O. Box 694,,Frankfort,KY,40602,,,2023-09-22,5000.00,0.00,,011,,,,,,,,,,,,,,,,,,,
SB29,C00010322,15986238,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-09-11,4.49,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15986239,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-10-11,26.23,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15986240,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-07-11,698.56,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15986241,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-07-13,49.35,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
SB29,C00010322,15986242,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-08-10,47.40,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
SB29,C00010322,15986243,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-08-11,558.96,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15986244,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-09-13,92.49,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
SB29,C00010322,15986245,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-09-11,523.93,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15986246,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-10-12,48.25,0.00,bank card fee,001,,,,,,,,,,,,,,,,,,,bank card fee
SB29,C00010322,15986247,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-10-11,534.90,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
SB29,C00010322,15986288,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-07-28,1582.51,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,15986289,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-08-28,1582.51,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,15986290,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-09-28,1193.23,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,15986291,,,ORG,APWU,,,,,,"1300 L STREET, NW",,WASHINGTON,DC,20005,,,2023-10-27,796.27,0.00,"SHARED SALARIES-VDUNCAN,BYOUNG",001,,,,,,,,,,,,,,,,,,,"SHARED SALARIES-VDUNCAN,BYOUNG"
SB29,C00010322,16038031,,,ORG,APWU,,,,,,1300 L STREET,,WASHINGTON,DC,20005,,,2023-11-13,10.89,0.00,client analysis charge,001,,,,,,,,,,,,,,,,,,,client analysis charge
