form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00889782,SB21B.1041113,,,ORG,CAMPAIGN DATA GROUP,,,,,,1281 TALLADEGA HWY,,SYLACAUGA,AL,35150,,,2024-11-04,35.10,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041189,,,ORG,DELUXE BUSINESS SYSTEMS,,,,,,801 S MARGUETTE AVE,,MINNEAPOLIS,MN,55402,,,2024-11-14,109.74,,OFFICE SUPPLIES
SB21B,C00889782,SB21B.1041102,,,ORG,DONORBUREAU,,,,,,1900 N CULPEPPER ST,SUITE 180V,ARLINGTON,VA,22207,,,2024-10-31,44.44,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041082,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-28,895.57,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041085,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-28,319.20,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041088,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-29,68.90,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041091,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-30,108.01,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041100,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-31,1663.49,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041105,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-01,642.19,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041108,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-04,378.36,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041116,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-05,226.28,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041125,,,ORG,FRONTLINE STRATEGIES AGENCY,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-06,241.65,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041071,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-24,2960.25,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041081,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-28,1472.20,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041084,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-28,2127.27,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041087,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-29,1243.80,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041090,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-30,3804.75,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041098,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-10-31,7046.46,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041104,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-01,1168.56,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041107,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-04,653.69,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041115,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-05,1774.40,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041124,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-06,915.03,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041130,,,ORG,FRONTLINE STRATEGIES LLC,,,,,,4 HOLLY LN,,MOHNTON,PA,19540,,,2024-11-07,85.13,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041109,,,ORG,HICKORY DATA LLC,,,,,,520 12TH ST S,# 1616,ARLINGTON,VA,22202,,,2024-11-04,4.03,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041111,,,ORG,O2M DIGITAL,,,,,,539 W. COMMERCE ST.,UNIT 4240,DALLAS,TX,75208,,,2024-11-04,175.33,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041118,,,ORG,O2M DIGITAL,,,,,,539 W. COMMERCE ST.,UNIT 4240,DALLAS,TX,75208,,,2024-11-05,21.24,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041126,,,ORG,O2M DIGITAL,,,,,,539 W. COMMERCE ST.,UNIT 4240,DALLAS,TX,75208,,,2024-11-06,4.03,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041092,,,ORG,POPACTA,,,,,,10 FAIRWAY DR,SUITE 180V,DEERFIELD BEACH,FL,33441,,,2024-10-30,450.26,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041101,,,ORG,POPACTA,,,,,,10 FAIRWAY DR,SUITE 180V,DEERFIELD BEACH,FL,33441,,,2024-10-31,124.28,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041112,,,ORG,POPACTA,,,,,,10 FAIRWAY DR,SUITE 180V,DEERFIELD BEACH,FL,33441,,,2024-11-04,25.50,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041119,,,ORG,POPACTA,,,,,,10 FAIRWAY DR,SUITE 180V,DEERFIELD BEACH,FL,33441,,,2024-11-05,85.00,,FUNDRAISING FEES
SB21B,C00889782,SB21B.1041064,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-24,130.75,,MERCHANT FEES
SB21B,C00889782,SB21B.1041080,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-28,105.93,,MERCHANT FEES
SB21B,C00889782,SB21B.1041083,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-28,109.90,,MERCHANT FEES
SB21B,C00889782,SB21B.1041086,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-29,57.95,,MERCHANT FEES
SB21B,C00889782,SB21B.1041089,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-30,206.60,,MERCHANT FEES
SB21B,C00889782,SB21B.1041097,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-10-31,396.59,,MERCHANT FEES
SB21B,C00889782,SB21B.1041103,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-01,83.72,,MERCHANT FEES
SB21B,C00889782,SB21B.1041106,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-04,138.61,,MERCHANT FEES
SB21B,C00889782,SB21B.1041114,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-05,96.13,,MERCHANT FEES
SB21B,C00889782,SB21B.1041122,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-06,57.74,,MERCHANT FEES
SB21B,C00889782,SB21B.1041129,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,,2024-11-07,4.18,,MERCHANT FEES
