form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00802389,500432258,,,ORG,Abundance Strategies,,,,,,5009 Belt Rd NW,,Washington,DC,200164234,,,2024-01-10,-52.80,0.00,Void Payment - Consulting - Project Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00802389,500432221,,,ORG,Abundance Strategies,,,,,,5009 Belt Rd NW,,Washington,DC,200164234,,,2024-01-18,19700.00,0.00,Consulting - Project Management,,,,,,,,,,,,,,,,,,,,
SB21B,C00802389,500432220,,,ORG,"Democracy Engine, LLC",,,,,,237 Florida Ave NW,,Washington,DC,200011801,,,2024-01-18,11400.00,0.00,Website Construction and Integration,,,,,,,,,,,,,,,,,,,,
SB21B,C00802389,500432217,,,ORG,Igicom,,,,,,108 W 39th St,Rm 1006,New York,NY,100188269,,,2024-01-18,4800.00,0.00,Consulting - Website Construction,,,,,,,,,,,,,,,,,,,,
SB21B,C00802389,500432257,,,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,P2024,,2024-01-10,-5.00,0.00,Email Services (via drawdown),,,,,,,,,,,,,,,,,,,,
SB21B,C00802389,22998400I,22998400,SA11AI,ORG,"League of Conservation Voters, Inc.",,,,,,740 15th St NW,Fl 7,Washington,DC,200051048,,,2024-01-31,12571.55,0.00,"Staff Time, Compliance and Administrative Support",,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00802389,500432218,,,ORG,New Blue Interactive,,,,,,5138 Newport Ave,,Bethesda,MD,208163025,,,2024-01-18,6542.50,0.00,Consulting - Communications,,,,,,,,,,,,,,,,,,,,
SB21B,C00802389,22998403I,22998403,SA11AI,ORG,NRDC Action Fund Inc.,,,,,,40 W 20th St,Fl 11,New York,NY,100114231,,,2024-01-10,9187.00,0.00,Consulting - Project Management,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00802389,22998404I,22998404,SA11AI,ORG,NRDC Action Fund Inc.,,,,,,40 W 20th St,Fl 11,New York,NY,100114231,,,2024-01-16,285.46,0.00,Meals,,,,,,,,,,,,,,,,,,,,* In-Kind Received
SB21B,C00802389,22998402I,22998402,SA11AI,ORG,NRDC Action Fund Inc.,,,,,,40 W 20th St,Fl 11,New York,NY,100114231,,,2024-01-23,5833.00,0.00,Consulting - Project Management,,,,,,,,,,,,,,,,,,,,* In-Kind Received
