form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00708644,SB21B.4608,,,ORG,"1735 GROUP, LLC",,,,,,1947 BILTMORE ST NW,,WASHINGTON,DC,20009,,,2023-09-22,10000.00,,FUNDRAISING CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4587,,,ORG,"ACQUIRE DIGITAL, LLC",,,,,,"2000 GLEN ECHO RD, SUITE 200",,NASHVILLE,TN,37215,,,2023-08-02,10000.00,,DIGITAL ADVERTISING (NON-IE RELATED),,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4584,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2023-08-02,8500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4585,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2023-08-02,8500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4597,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2023-09-01,8500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4615,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2023-10-02,8500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4630,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2023-11-08,8500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4646,,,ORG,BELMONT STRATEGIES,,,,,,184 WEST BOYLSTON ST,,WEST BOYLSTON,MA,01583,,,2023-12-11,8500.00,,COMMUNICATIONS CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4586,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-08-02,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4593,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-08-09,2000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
SB21B,C00708644,SB21B.4606,,,ORG,BULLDOG COMPLIANCE,,,,,,138 CONANT STREET,STE 401,BEVERLY,MA,01915,,,2023-09-22,1000.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,,,,,,,,
