form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00625533,500460634,,,ORG,Deliver Strategies LLC,,,,,,PO Box 100970,,Arlington,VA,222103970,G2024,,2024-10-15,7000.00,,467667.85,ESTIMATE: Palm Cards,,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500460635,,,ORG,Deliver Strategies LLC,,,,,,PO Box 100970,,Arlington,VA,222103970,G2024,,2024-10-15,7000.00,,753355.99,ESTIMATE: Palm Cards,,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500460636,,,ORG,Deliver Strategies LLC,,,,,,PO Box 100970,,Arlington,VA,222103970,G2024,,2024-10-15,134.06,,467667.85,ESTIMATE: Stickers,,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500460637,,,ORG,Deliver Strategies LLC,,,,,,PO Box 100970,,Arlington,VA,222103970,G2024,,2024-10-15,134.06,,753355.99,ESTIMATE: Stickers,,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500460638,,,ORG,Deliver Strategies LLC,,,,,,PO Box 100970,,Arlington,VA,222103970,G2024,,2024-10-15,536.21,,1923364.95,ESTIMATE: Stickers,,,S,S6OH00163,BROWN,SHERROD,,,,S,00,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500458718,,,ORG,"Movement Labs, LLC",,,,,,2323 Broadway,,Oakland,CA,946122414,G2024,,2024-10-08,13165.00,2024-10-08,1923364.95,Texting Services,,,S,S6OH00163,BROWN,SHERROD,,,,S,00,OH,Sonekan,Titi,,,,2024-10-24,
SE,C00625533,500459239,,,ORG,"Movement Labs, LLC",,,,,,2323 Broadway,,Oakland,CA,946122414,G2024,,2024-10-08,13165.00,,1923364.95,Texting Services,,,S,S6OH00163,BROWN,SHERROD,,,,S,00,OH,Sonekan,Titi,,,,2024-10-24,
SE,C00625533,500457308,,,ORG,OTG Strategies,,,,,,8651 HIGHWAY N,Ste 214,Lake St Louis,MO,63367,G2024,,2024-10-01,206550.00,2024-10-02,753355.99,Canvassing Services,,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2024-10-24,
SE,C00625533,500457309,,,ORG,OTG Strategies,,,,,,8651 HIGHWAY N,Ste 214,Lake St Louis,MO,63367,G2024,,2024-10-01,206550.00,2024-10-02,467667.85,Canvassing Services,,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,Sonekan,Titi,,,,2024-10-24,
SE,C00625533,500457310,,,ORG,OTG Strategies,,,,,,8651 HIGHWAY N,Ste 214,Lake St Louis,MO,63367,G2024,,2024-10-01,826200.00,2024-10-02,1923364.95,Canvassing Services,,,S,S6OH00163,BROWN,SHERROD,,,,S,00,OH,Sonekan,Titi,,,,2024-10-24,
SE,C00625533,500460631,,,ORG,OTG Strategies,,,,,,8651 HIGHWAY N,Ste 214,Lake St Louis,MO,63367,G2024,,2024-10-15,139583.33,,467667.85,Canvassing Services,,,S,H2OH09031,KAPTUR,MARCY,M.C.,,,H,09,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500460632,,,ORG,OTG Strategies,,,,,,8651 HIGHWAY N,Ste 214,Lake St Louis,MO,63367,G2024,,2024-10-15,139583.33,,753355.99,Canvassing Services,,,S,H2OH13264,SYKES,EMILIA,,,,H,13,OH,Sonekan,Titi,,,,2024-10-24,X,*
SE,C00625533,500460633,,,ORG,OTG Strategies,,,,,,8651 HIGHWAY N,Ste 214,Lake St Louis,MO,63367,G2024,,2024-10-15,558333.34,,1923364.95,Canvassing Services,,,S,S6OH00163,BROWN,SHERROD,,,,S,00,OH,Sonekan,Titi,,,,2024-10-24,X,*
