form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00173096,B875906,,,CCM,Manolo Reyes for Miami,,,,,,5301 SW 7 Street,,Miami,FL,33134,G2027,,2024-09-20,-1000.00,,G-2027 City Council Miami 4 FL,011,,,,Reyes,Manuel,E,,,,FL, ,,,,,,,,Voided: Original check dated 06/14/24
SB29,C00173096,B885204,,,CCM,Friends for Patrick Vincenti,,,,,,303 West Lane,,Churchville,MD,21028,P2026,,2024-09-24,250.00,,P-2026 Co. Council President  MD,011,,,,Vincenti,Patrick,,,,,MD, ,,,,,,,,
SB29,C00173096,B884451,,,CCM,Stanley for Assembly,,,,,,PO Box 895,,East Brunswick,NJ,08816,P2025,,2024-09-19,500.00,,P-2025 State House 18 NJ,011,,,,Stanley,Sterley,,,,H,NJ,18,,,,,,,,
SB29,C00173096,B882651,,,CCM,Becker for Nevada,,,,,,PO Box 370672,,Las Vegas,NV,89137,G2024,,2024-09-06,2500.00,,G-2024 Co. Comm. Clark NV,011,,,,Becker,April,,,,,NV, ,,,,,,,,
SB29,C00173096,B885205,,,CCM,Friends of Michael Naft,,,,,,10624 S Eastern Avenue Suite A-101,,Henderson,NV,89052,G2024,,2024-09-24,1000.00,,G-2024 Co. Comm. Clark Co A NV,011,,,,Naft,Michael,,,,,NV, ,,,,,,,,
SB29,C00173096,B884453,,,CCM,Mario Castillo Campaign,,,,,,P.O. Box 56386,,Houston,TX,77256,P2027,,2024-09-19,2500.00,,P-2027 City Council H TX,011,,,,Castillo,Mario,,,,,TX, ,,,,,,,,
SB29,C00173096,B884452,,,CCM,Chris Hollins Campaign,,,,,,P.O. Box 56386,,Houston,TX,77256,P2027,,2024-09-19,1000.00,,P-2027 City Comptroller  TX,011,,,,Hollins,Chris,,,,,TX, ,,,,,,,,
SB29,C00173096,B885534,,,CCM,Texans for Stan,,,,,,P.O. Box 3752,,Abilene,TX,79604,G2024,,2024-09-25,2000.00,,G-2024 State House 71 TX,011,,,,Lambert,Standard,,,,H,TX,71,,,,,,,,
SB29,C00173096,B874805,,,CCM,Elect Brandy Donaghy,,,,,,PO Box 12572,,Mill Creek,WA,98082,P2024,,2024-09-23,-300.00,,P-2024 State House 44 WA,011,,,,Donaghy,Brandy,,,,H,WA,44,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874801,,,CCM,Perry Dozier for State Senate,,,,,,P.O. Box 3042,,Walla Walla,WA,99362,P2024,,2024-09-23,-400.00,,P-2024 State Senate 16 WA,011,,,,Dozier,Perry,,,,S,WA,16,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874803,,,CCM,Hackney for the 11th,,,,,,PO Box 12066,,Seattle,WA,98102,P2024,,2024-09-23,-300.00,,P-2024 State House 11 WA,011,,,,Hackney,George David,,,,H,WA,11,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874800,,,CCM,Committee to Re-Elect John Lovick,,,,,,2403 - 157th Pl. SE,,Mill Creek,WA,98012,P2026,,2024-09-23,-400.00,,P-2026 State Senate 44 WA,011,,,,Lovick,John,,,,S,WA,44,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874802,,,CCM,Friends to Elect Kristine Reeves,,,,,,PO Box 24163,,Federal Way,WA,98093,P2024,,2024-09-23,-300.00,,"P-2024 State House 30, Pos. 2 WA",011,,,,Reeves,Kristine,,,,H,WA,30,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874796,,,CCM,Friends for Cindy Ryu,,,,,,15005 Aurora Ave. N.,,Shoreline,WA,98133,P2024,,2024-09-23,-300.00,,P-2024 State House 32-1 WA,011,,,,Ryu,Cindy,,,,H,WA,32,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874797,,,CCM,Friends of Santos,,,,,,9806 62 St. Ave. South,,Seattle,WA,98118,P2024,,2024-09-23,-400.00,,P-2024 State House 37 WA,011,,,,Santos,Sharon Tomiko,,,,H,WA,37,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874799,,,CCM,Friends of Derek Stanford,,,,,,PO Box 2041,,Bothell,WA,98041,P2024,,2024-09-23,-400.00,,P-2024 State Senate 01 WA,011,,,,Stanford,Derek,,,,S,WA,01,,,,,,,,Voided: Original check dated 06/06/24
SB29,C00173096,B874795,,,CCM,Amy Walen for State House,,,,,,P.O. Box 853,,Kirkland,WA,98073,P2024,,2024-09-23,-400.00,,P-2024 State House 48 WA,011,,,,Walen,Amy,,,,H,WA,48,,,,,,,,Voided: Original check dated 06/06/24
