form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00487470,SB21B.5169,,,ORG,AdVictoriam,,,,,,525 East Market St.,,Leesburgh,VA,20176,,,2023-07-31,117.75,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5152,,,ORG,Authorize.NET,,,,,,808 East Utah Valley Dr.,,American Fork,UT,84003,,,2023-07-05,84.95,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5159,,,ORG,Big Eye Direct,,,,,,PO Box 710865,,Oak Hill,VA,20171,,,2023-07-29,204.50,,"mail production, postage",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5160,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-07-05,40000.00,,advance for future expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5186,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-07-15,11378.51,,"pull from advance, Line 21, for administrative, fundraising and compliance support",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5188,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-07-15,-11378.51,,pull from advance for operating expenditure Line 21,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5187,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-07-31,22442.01,,"pull from advance, Line 21, for administrative, fundraising and compliance support",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5189,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-07-31,-22442.01,,pull from advance for operating expenditure Line 21,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5161,,,ORG,"FatLab, LLC",,,,,,1732 11ST AVE,#24150,NEW YORK,NY,10128,,,2023-07-14,390.00,,"website design, maintenance",,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5162,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-10,500.00,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5176,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-10,31.80,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5163,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-13,2500.00,,digital prospecting,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5177,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-13,2.50,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5178,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-17,2.50,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5179,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-24,18.50,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5180,,,ORG,"IMGE, LLC",,,,,,108 SOUTH WASHINGTON ST.,2ND FLOOR,Alexandria,VA,22314,,,2023-07-31,109.20,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5182,,,ORG,SendTeam,,,,,,1501 Commerce Drive,,Elgin,IL,60123,,,2023-07-31,25.20,,donation processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5153,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-07-07,1.47,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5157,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-07-10,54.90,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5154,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-07-14,12.41,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00487470,SB21B.5155,,,ORG,Stripe,,,,,,185 BERRY ST.,STE 550,SAN FRANCISCO,CA,94107,,,2023-07-21,17.85,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
