form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00299396,SB29.6432,,,ORG,DePasquale for Attorney General,,,,,,PO Box 53043,,Pittsburgh,PA,15219,,,2024-04-19,2500.00,,Non-Federal Contribution,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6447,,,ORG,Erickson & Company,,,,,,"38 Ivy Street, SE",,Washington,DC,20003,,,2024-04-10,5000.00,,Fundraising Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6448,,,ORG,Erickson & Company,,,,,,"38 Ivy Street, SE",,Washington,DC,20003,,,2024-05-10,5000.00,,Fundraising Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6449,,,ORG,Erickson & Company,,,,,,"38 Ivy Street, SE",,Washington,DC,20003,,,2024-06-06,5000.00,,Fundraising Consulting - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6462,,,ORG,Patuxent Consulting,,,,,,555 11th Street NW,,Washington,DC,20004,,,2024-06-04,1280.00,,Inkind Received - Fundraising Consulting - IE Only Accont,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6463,,,ORG,Patuxent Consulting,,,,,,555 11th Street NW,,Washington,DC,20004,,,2024-06-17,1280.00,,Inkind Received - Fundraising Consulting - IE Only Accont,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6451,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2024-05-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6452,,,ORG,Ponte Collaberative,,,,,,,,San Francisco,CA,,,,2024-06-14,50.00,,Software - IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6444,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2024-04-10,4137.00,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6445,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2024-05-02,4392.49,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6446,,,ORG,Strategic Campaign Initiatives,,,,,,12608 Safety Turn,,Bowie,MD,20715,,,2024-06-03,4186.20,,Administrative Services- IE Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00299396,SB29.6458,,,ORG,Tre Dita,,,,,,401 E. Wacker Dr,,Chicago,IL,60601,,,2024-05-17,2323.93,,Catering - IE Only Account,,,,,,,,,,,,,,,,,,,,
