form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00432260,SB21B.8542,,,ORG,Authorize.NET,,,,,,808 East Utah Valley Dr.,,American Fork,UT,84003,,,2023-08-02,149.90,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8577,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-03,-52.17,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8579,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-03,-189.73,,pull from advance for non-federal disbursment line 29,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8001,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-09,-218.90,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8002,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-18,-206.53,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8016,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-22,-52.17,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8575,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-22,-52.17,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8028,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-23,-90.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8576,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-23,-90.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8029,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-08-28,-324.15,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8544,,,ORG,"FatLab, LLC",,,,,,1732 1st Ave.,#24150,New York,NY,10128,,,2023-08-31,780.00,,website maintenance,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8547,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-08-01,640.30,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8545,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-08-15,205.47,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8548,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-08-22,103.26,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8546,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-08-29,59.04,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8554,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-04,49.46,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8550,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-07,75.44,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8555,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-11,4.99,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8551,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-14,38.02,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8556,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-18,3.74,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8552,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-21,12.04,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8557,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-25,1.03,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8553,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-08-28,1.77,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8549,,,ORG,Truist Bank,,,,,,214 N Tryon St.,,Charlotte,NC,282021078,,,2023-08-21,110.23,,bank fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.8543,,,ORG,Truist Merchant Services,,,,,,PO Box 2394,,Omaha,NE,68103,,,2023-08-10,24.95,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
