form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00630665,500993069,,,ORG,1Password,,,,,,4711 Yonge St,10th Floor,Toronto,ON,M2N 6K8,,,2023-03-20,1510.11,0.00,Non-Contribution Account - Organizational Tools,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500283658,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-01-08,80.16,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285660,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-01-15,6.94,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285640,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-01-22,21.73,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285671,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-01-29,3.24,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285652,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-01-31,0.80,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500285632,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-02-07,79.76,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863138,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-02-13,105.65,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863139,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-02-19,22.13,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863140,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-02-26,1.65,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863141,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-02-28,2.39,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863142,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-03-05,79.00,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500863143,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-03-12,7.66,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500954243,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-03-19,22.13,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500983369,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-03-26,1.65,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500985497,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-03-31,397.39,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500985498,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-04-02,79.04,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,500987957,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-04-09,2.72,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501015071,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-04-16,7.32,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042869,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-04-23,19.75,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042870,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-04-30,4.04,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501042871,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-05-07,79.76,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB29,C00630665,501044281,,,ORG,"ActBlue Technologies, Inc.",,,,,,14 Arrow St,Ste 11,Cambridge,MA,021385106,,,2023-05-14,7.30,0.00,Non-Contribution Account - Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
