form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00165589,5BAEAABEF34E1A4B3BA,,,COM,Chicagoland Chamber PAC,,,,,,"401 N Michigan Ave, Suite 900",,Chicago,IL,60611,,,2023-12-31,-1000.00,,Void of 12/13/2022 contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,7E085B91E49CC29D703,,,COM,Citizens for Gavarone,,,,,,1537 Cedar Lane,,Bowling Green,OH,43402,,,2023-12-31,-500.00,,Void of 6/21/2023 Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,4AA2CB9522EC90CD6D3,,,COM,Citizens for Lori Tyack,,,,,,545 East Town Street,,Columbus,OH,43215,,,2023-12-31,-1500.00,,Void of 3/16/2023 Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,EE93FC0AA867FE10DCE,,,COM,Citizens for McColley,,,,,,15 Lemans Drive,,Napoleon,OH,43545,,,2023-12-06,1000.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,3541EDBCFD05CCCC2EF,,,COM,Citizens for Stephanie Kunze,,,,,,865 Macon Alley,,Columbus,OH,43206,,,2023-12-06,500.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,B9A0342EE3FEC1B3DCD,,,COM,Franklin County Democratic Party,,,,,,"700 Morse Road, Suite 105",,Columbus,OH,43215,,,2023-12-31,-500.00,,Void of 9/8/2022 contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,FF1FCD6423D530B2518,,,COM,Franklin County Democratic Party,,,,,,"700 Morse Road, Suite 105",,Columbus,OH,43215,,,2023-12-31,-1000.00,,Void of 5/25/2023 Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,D27FE8A37075A48454D,,,COM,Friends of Kapszukiewicz,,,,,,6144 Rolland Drive,,Toldeo,OH,43612,,,2023-12-06,500.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,5B56E149CDD18B40478,,,COM,Friends of O'Connor,,,,,,545 E Town Center,,Columbus,OH,43201,,,2023-12-06,1500.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,4271B27F28C49A2E317,,,COM,Garrity for PA,,,,,,PO Box 62224,,Harrisburg,PA,17106,,,2023-12-06,1000.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,FCB640E2B8AB6DFE124,,,COM,Ohio House Republican Alliance (OHRA),,,,,,4679 Winterset Drive,,Columbus,OH,43220,,,2023-12-06,1000.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,44B85775920EFEBB0AD,,,COM,Ohio Republican Party State Central & Executive Committee (non-federal),,,,,,211 S 5th Street,,Columbus,OH,43215,,,2023-12-06,1000.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,9E1C8C94094E7D72F05,,,COM,Ohio Republican Senate Campaign Committee (RSCC),,,,,,4679 Winterset Drive,,Columbus,OH,43220,,,2023-12-06,1000.00,,Nonfederal Contribution,011,,,,,,,,,,,,,,,,,,,
SB29,C00165589,1A45B82577EA80DDB54,,,COM,Steve Wilson for Ohio,,,,,,102 E Orchard Avenue,,Lebanon,OH,45036,,,2023-12-31,-1000.00,,Void of 6/21/2023 Contribution,011,,,,,,,,,,,,,,,,,,,
