form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00835587,500691000,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-08-22,24.73,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500700500,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-09-16,26.66,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500691010,,,ORG,The Action Network,,,,,,1900 L St NW,Ste 900,Washington,DC,200365005,,,2024-08-21,745.71,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500685720,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-07-31,23.84,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500692430,,,ORG,"StreamYard, Inc.",,,,,,2810 N Church St,,Wilmington,DE,198024447,,,2024-08-26,49.00,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500687940,,,ORG,Bunker,,,,,,1515 W Monroe St,,Chicago,IL,606071547,,,2024-08-12,11789.71,0.00,"Venue Reservation, Meals",,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500709640,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-09-23,14.98,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500709840,,,ORG,"Crooked Media, Inc.",,,,,,6555 Barton Ave,Ste 510,Los Angeles,CA,900382588,,,2024-08-28,52055.23,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500697340,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-09,949.90,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500700540,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-09-09,21.37,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500686550,,,ORG,"Crooked Media, Inc.",,,,,,6555 Barton Ave,Ste 510,Los Angeles,CA,900382588,,,2024-08-07,26788.57,0.00,Service Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500692460,,,ORG,"Georgia Youth Justice Coalition for Action, Inc.",,,,,,794 Marietta St NW,Unit 94992,Atlanta,GA,303772620,,,2024-08-30,30000.00,0.00,Non-Federal Contribution from Contribution Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500697360,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-09-18,5563.64,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500682570,,,COM,Friends of Anna Payne,,,,,,346 Stratton Ct,,Langhorne,PA,190471664,G2024,,2024-07-24,2500.00,0.00,Non-Federal Contribution from Contribution Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500690970,,,ORG,ActBlue Technical Services,,,,,,366 Summer St,,Somerville,MA,021443132,,,2024-08-28,8768.89,0.00,Credit Card Processing Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500686880,,,COM,Friends of Sarah Henry PAC,,,,,,PO Box 182091,,Casselberry,FL,327182091,,,2024-08-06,1000.00,0.00,Non-Federal Contribution from Contribution Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500690990,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-08-20,4.70,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500669490,,,ORG,American Airlines,,,,,,4333 Amon Carter Blvd,,Fort Worth,TX,761552605,,,2024-07-17,572.95,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500700490,,,ORG,Pink Taco,,,,,,100 M St SE,,Washington,DC,200033519,,,2024-09-18,237.79,0.00,Catering,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500685501,,,COM,NH House Democratic Victory Campaign Committee,,,,,,105 N State St,,Concord,NH,033014334,,,2024-07-31,20000.00,0.00,Non-Federal Contribution from Contribution Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500691001,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-08-22,12.29,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500700501,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-09-16,2.00,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500676011,,,ORG,Nosh with Tash,,,,,,1540 Armacost Ave,,Los Angeles,CA,900255780,,,2024-07-10,5757.86,0.00,Fundraising Event,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500672311,,,ORG,Uber,,,,,,1515 3rd St,,San Francisco,CA,941582211,,,2024-07-01,18.85,0.00,Travel,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500685711,,,COM,Wisconsin Assembly Democratic Campaign Committee,,,,,,PO Box 814,,Madison,WI,537010814,,,2024-08-01,12000.00,0.00,Non-Federal Contribution from Contribution Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500697021,,,ORG,Nosh with Tash,,,,,,1540 Armacost Ave,,Los Angeles,CA,900255780,,,2024-09-05,1800.00,0.00,Bake Sale,,,,,,,,,,,,,,,,,,,,
SB21B,C00835587,500685721,,,ORG,Amalgamated Bank,,,,,,275 7th Ave,,New York,NY,100016708,,,2024-07-26,951.50,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
