form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00846675,SB21B.4157,,,ORG,Alpha M. LLC,,,,,,1211 SW 5th Ave,Ste 600,Portland,OR,97204,,,2024-01-09,397.00,,Printing,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4142,,,ORG,"Aristotle International, Inc.",,,,,,PO Box 716045,,Philadelphia,PA,19171,,,2024-02-13,1950.00,,Database,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4107,,,ORG,"Bradley Ross, Inc.",,,,,,PO Box 183,,Hudson,WI,54016,,,2024-01-05,3000.00,,PAC Strategy Consulting,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4111,,,ORG,"Bradley Ross, Inc.",,,,,,PO Box 183,,Hudson,WI,54016,,,2024-01-12,2500.00,,PAC Strategy Consulting,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4136,,,ORG,"Bradley Ross, Inc.",,,,,,PO Box 183,,Hudson,WI,54016,,,2024-02-01,3000.00,,PAC Strategy Consulting,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4155,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-01-03,225.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4139,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-02-05,189.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4140,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-02-05,225.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4144,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-03-04,189.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4145,,,ORG,Public Storage,,,,,,701 Western Ave,,Glendale,CA,91201,,,2024-03-04,225.00,,Rent,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4109,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-01-04,500.00,,Caging,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4135,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-01-23,1000.00,,Accounting Consulting,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
SB21B,C00846675,SB21B.4161,,,ORG,Same Day Processing,,,,,,502 6th St,,Hudson,WI,54016,,,2024-02-26,2000.00,,Accounting Consulting,001,C00846675,Dedicated Action Victory Initiative Strategy DAVIS PAC,,,,,,,,,,,,,,,,,
