form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00365965,SB23.26918,,,CCM,ADRIAN SMITH FOR CONGRESS,,,,,,1126 AVENUE A,STE 6,SCOTTSBLUFF,NE,69361,G2024,,2024-08-07,1000.00,,,,C00412890,,,,,,,,H,NE,03,,,,,,,,
SB23,C00365965,SB23.26921,,,CCM,ANGIE CRAIG FOR CONGRESS,,,,,,P.O. BOX 22116,,EAGAN,MN,55122,G2024,,2024-08-19,1000.00,,,,C00575209,,,,,,,,H,MN,02,,,,,,,,
SB23,C00365965,SB23.26471,,,CCM,BALDWIN FOR WISCONSIN,,,,,,PO BOX 696,,Madison,WI,53701,G2024,,2024-07-01,2500.00,,,,C00830687,,,,,,,,S,WI,,,,,,,,,
SB23,C00365965,SB23.26927,,,CCM,BRIAN FITZPATRICK FOR ALL OF US,,,,,,PO BOX 939,,LANGHORNE,PA,19047,G2024,,2024-09-09,1000.00,,,,C00607416,,,,,,,,H,PA,01,,,,,,,,
SB23,C00365965,SB23.26924,,,CCM,Darren Soto for Congress,,,,,,PO BOX 421349,,Kissimmee,FL,34742,G2024,,2024-09-04,1000.00,,,,C00581074,,,,,,,,H,FL,09,,,,,,,,
SB23,C00365965,SB23.26922,,,CCM,DAVIS FOR CONGRESS/FRIENDS OF DAVIS,,,,,,5956 W. Race Avenue,,Chicago,IL,60644,G2024,,2024-09-19,2500.00,,,,C00172619,,,,,,,,H,IL,07,,,,,,,,
SB23,C00365965,SB23.26926,,,CCM,DR KIM SCHRIER FOR CONGRESS,,,,,,PO BOX 2728,,ISSAQUAH,WA,98027,G2024,,2024-09-05,1000.00,,,,C00652628,,,,,,,,H,WA,08,,,,,,,,
SB23,C00365965,SB23.26919,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,607 14th Street N.W.,Suite 800,Washington,DC,20005,G2024,,2024-08-08,3300.00,,,,C00264697,,,,,,,,H,OH,13,,,,,,,,
SB23,C00365965,SB23.26920,,,CCM,FRIENDS OF SHERROD BROWN,,,,,,607 14th Street N.W.,Suite 800,Washington,DC,20005,G2024,,2024-08-08,1700.00,,,,C00264697,,,,,,,,H,OH,13,,,,,,,,
SB23,C00365965,SB23.26934,,,CCM,GUTHRIE FOR CONGRESS,,,,,,PO BOX 9639,,BOWLING GREEN,KY,42102,G2024,,2024-09-19,2500.00,,,,C00445023,,,,,,,,H,KY,02,,,,,,,,
SB23,C00365965,SB23.26928,,,CCM,Jasmine for US,,,,,,PO BOX 227235,,Dallas,TX,75222,G2024,,2024-09-10,1000.00,,,,C00795450,,,,,,,,H,TX,30,,,,,,,,
SB23,C00365965,SB23.26917,,,CCM,Jason Smith for Congress,,,,,,PO Box 1324,,CAPE GIRARDEAU,MO,637021324,G2024,,2024-07-24,5000.00,,,,C00541862,,,,,,,,H,MO,08,,,,,,,,
SB23,C00365965,SB23.26936,,,CCM,JEFFRIES FOR CONGRESS,,,,,,"3430 CONNECTICUT AVENUE, NW #11704",,WASHINGTON,DC,20008,G2024,,2024-09-24,2500.00,,,,C00503052,,,,,,,,H,NY,08,,,,,,,,
SB23,C00365965,SB23.26473,,,CCM,JULIA BROWNLEY FOR CONGRESS,,,,,,PO BOX 2018,,THOUSAND OAKS,CA,91358,G2024,,2024-07-23,3300.00,,,,C00513077,,,,,,,,H,CA,26,,,,,,,,
SB23,C00365965,SB23.26474,,,CCM,JULIA BROWNLEY FOR CONGRESS,,,,,,PO BOX 2018,,THOUSAND OAKS,CA,91358,G2024,,2024-07-23,1700.00,,,,C00513077,,,,,,,,H,CA,26,,,,,,,,
