form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00769109,500042441,,,ORG,"NGP Van, Inc.",,,,,,PO Box 392264,,Pittsburgh,PA,152519264,,,2024-04-24,318.00,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042481,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2024-04-09,265.81,0.00,Credit Card Payment - See Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042486,500042481,SB21B,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-04-09,44.52,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042487,500042481,SB21B,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-04-09,67.85,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042412,,,ORG,"Copper Phoenix Campaign Strategies, LLC",,,,,,5555 Glenridge Connector,Ste 200,Atlanta,GA,303424815,,,2024-04-08,25000.00,0.00,Communications Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042442,,,IND,,Ossoff,T.,Jonathan,,,PO Box 450326,,Atlanta,GA,311450326,,,2024-04-19,371.21,0.00,Travel Reimbursement - See Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042443,500042442,SB21B,ORG,Amtrak,,,,,,1 Massachusetts Ave NW,,Washington,DC,200011401,,,2024-04-19,371.21,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042472,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-04-26,152.75,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042496,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-04-26,12.00,0.00,Bank Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042488,,,ORG,American Express,,,,,,PO Box 1270,,Newark,NJ,071011270,,,2024-04-22,585.53,0.00,Credit Card Payment - See Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00769109,500042490,500042488,SB21B,ORG,Amtrak,,,,,,1 Massachusetts Ave NW,,Washington,DC,200011401,,,2024-04-22,66.00,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042491,500042488,SB21B,ORG,Amtrak,,,,,,1 Massachusetts Ave NW,,Washington,DC,200011401,,,2024-04-22,156.00,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042492,500042488,SB21B,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-04-22,139.10,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042494,500042488,SB21B,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-04-22,67.85,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042495,500042488,SB21B,ORG,"Google, Inc.",,,,,,1600 Amphitheatre Pkwy,,Mountain View,CA,940431351,,,2024-04-22,47.10,0.00,Software Subscription,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042489,500042488,SB21B,ORG,Amtrak,,,,,,1 Massachusetts Ave NW,,Washington,DC,200011401,,,2024-04-22,66.00,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00769109,500042419,,,IND,,Tromley,Kyle,,,,PO Box 450326,,Atlanta,GA,311450326,,,2024-04-08,4000.00,0.00,Political Strategy Consulting,,,,,,,,,,,,,,,,,,,,
