form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00835637,SB21B.4178,,,ORG,JP Morgan,,,,,,270 Park Avenue,,New York,NY,10017,,,2024-03-31,445.81,,Bank Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4166,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-15,146.62,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4167,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-16,73.31,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4168,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-16,0.59,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4169,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-16,2.93,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4170,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-16,29.33,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4171,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-16,0.59,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4172,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-16,8.80,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4173,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-20,2.93,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4174,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-20,1.47,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4175,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-02-27,1.17,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4176,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-03-01,8.80,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
SB21B,C00835637,SB21B.4177,,,ORG,Square Inc.,,,,,,1455 Market Street,Suite 600,San Francisco,CA,94103,,,2024-03-18,14.66,,Processing Fees,001,C00835637,Arevon Energy Inc. Political Action Committee,,,,,,,,,,,,,,,,,
