form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00851410,VD713FEBBBEFDB1E88BD,,,ORG,Campaign & Issue Management LLC,,,,,,975 Charles Road,,Carbondale,IL,62901,,,2023-12-31,5000.00,,Creative Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V69EE90B98AB832D284D,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-09-07,53241.60,,Wesbite/Compliance Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V843FF41A8A4EF6B5A4D,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-09-30,25.50,,Credit Card Process Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V1F6D5EED19DE7271629,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-10-06,787.50,,Legal Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V3B0170D1B56523F7BBC,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-10-17,2526.50,,Legal Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V638C4137A9B3BE96857,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-10-25,57.93,,Credit Card Process Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V94C8E080B0822E3C41A,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-10-31,26.40,,Credit Card Process Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V4D76D5D13E5AA283FDC,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-11-08,13807.50,,Legal Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V33D5887086FC82ABAA6,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-11-28,125.09,,Credit Card Process Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V0090D759EAFDCB2E4CC,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-11-30,27.20,,Credit Card Process Fees,001,,,,,,,,,,,,,,,,,,,
SB21B,C00851410,V123D8815A227D5ACBF6,,,ORG,"National Shooting Sports Foundation, Inc.",,,,,,"400 N. Capitol Street, NW",Suite 475,Washington,DC,200011593,,,2023-12-07,204.84,,Business Cards,001,,,,,,,,,,,,,,,,,,,
