form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00420125,SB29.6296,,,PAC,Bill Gravell Campaign,,,,,,PO Box 1936,,Georgetown,TX,78627,,,2024-05-16,2500.00,,political cotribution to a candidate in TX,,,Bill Gravell Campaign,,,,,,,,,,,,,,,,,
SB29,C00420125,SB29.6302,,,CAN,,Blanco,Cesar,,,,P.O. Box 929,,El Paso,TX,79946,,,2024-06-11,500.00,,political contribuion to a candidate in TX,,,,,Blanco,Cesar,,,,,,,,,,,,,,
SB29,C00420125,SB29.6292,,,CAN,,Frederick,Frazier,,,,4100 Eldorado Pkwy Ste 100 PMB 241,,McKinney,TX,75070,,,2024-04-02,500.00,,political contribution to a TX candidate,,,,,Frederick,Frazier,,,,,,,,,,,,,,
SB29,C00420125,SB29.6295,,,PAC,Grady Prestage Campaign,,,,,,P.O. Box 835,,Missouri City,TX,77459,,,2024-04-29,2000.00,,political contribution to a candidate in TX,,,Grady Prestage Campaign,,,,,,,,,,,,,,,,,
SB29,C00420125,SB29.6310,,,CCM,John Whitmire Campaign,,,,,,2111 Washington Ave,,houston,TX,77078,,,2024-05-10,-2500.00,,VOID - check was never cashed and the contribution made on 2/1/23 was voided,,,,,,,,,,,TX,,,,,,,,,
SB29,C00420125,SB29.6298,,,CCM,John Whitmire Campaign,,,,,,2111 Washington Ave,,houston,TX,77078,,,2024-05-16,10000.00,,political contribution to a candidate in TX,,,John Whitmire Campaign,,,,,,,,TX,,,,,,,,,
SB29,C00420125,SB29.6291,,,PAC,Lynn Stucky Campaign,,,,,,P.O. Box 464,,Denton,TX,76202,,,2024-04-02,500.00,,political contribution to a TX candidate,,,Lynn Stucky Campaign,,,,,,,,,,,,,,,,,
SB29,C00420125,SB29.6308,,,CAN,,Martinez,Armando,,,,P. O. Box 1651,,Weslaco,TX,78599,,,2024-06-27,500.00,,political contribution to a candidate in TX,,,,,Martinez,Armando,,,,,,,,,,,,,,
SB29,C00420125,SB29.6306,,,CAN,,Rodriguez,Justin,,,,P.O. Box 100153,,San Antonio,TX,78201,,,2024-06-27,1000.00,,political contribution to a candidate in TX,,,,,Rodriguez,Justin,,,,,,,,,,,,,,
SB29,C00420125,SB29.6307,,,PAC,Terry Canales Campaign,,,,,,P.O. Box 2910 Room 4S.4,,Austin,TX,78768,,,2024-06-27,500.00,,political contirbution to a candidate in TX,,,Terry Canales Campaign,,,,,,,,,,,,,,,,,
SB29,C00420125,SB29.6294,,,PAC,Texans for Dade (Phelan),,,,,,P.O. Box 848,,Nederland,TX,77627,,,2024-04-02,500.00,,political contirbution to a TX candidate,,,Texans for Dade (Phelan),,,,,,,,,,,,,,,,,
SB29,C00420125,SB29.6299,,,PAC,Tom Ramsey Campaign,,,,,,P.O. Box 55385,,Houston,TX,77255,,,2024-05-29,2500.00,,political contribution to a candidate in TX,,,Tom Ramsey Campaign,,,,,,,,,,,,,,,,,
