form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00480863,D5DE59993222D2DDB0A,,,PAC,Alamo PAC,,,,,,919 Congress Ave,Ste 1400,Austin,TX,78701,O2023,Contribution,2023-09-11,5000.00,,2023 Contribution,011,C00387464,Alamo PAC,,,,,,,,,,,,,,,,,
SB23,C00480863,EE0927D55EAAEF022AC,,,CCM,Andy Harris For Congress,,,,,,PO Box 6,,Cambridge,MD,21613,P2024,,2023-09-26,2500.00,,2024 Primary,011,C00435974,,H8MD01094,Harris,Andrew,P.,,,H,MD,01,,,,,,,,
SB23,C00480863,99689A8F42D9912FF68,,,CCM,Anna Paulina Luna For Congress,,,,,,1201 GANDY BLVD N,P.O. BOX 23064,SAINT PETERSBURG,FL,337428001,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00718239,,H0FL13158,Paulina Luna,Anna,,,,H,FL,13,,,,,,,,
SB23,C00480863,A21904442EC5A434531,,,CCM,Ashley Hinson For Congress,,,,,,PO Box 811,,Marion,IA,52302,P2024,,2023-09-18,1000.00,,2024 Primary,011,C00706267,,H0IA01174,Hinson,Ashley,,,,H,IA,02,,,,,,,,
SB23,C00480863,C0B6D5CC9B0D2A4AAEE,,,CCM,Biggs For Congress,,,,,,228 S Washington St,Ste 115,Alexandria,VA,22314,P2024,,2023-09-12,1000.00,,2024 Primary,011,C00610451,,H6AZ05083,Biggs,Andrew,S.,,,H,AZ,05,,,,,,,,
SB23,C00480863,65E7A6FE8C7A7AEF8C1,,,CCM,Buck For Colorado,,,,,,PO Box 419,,Windsor,CO,80550,P2024,,2023-09-12,1000.00,,2024 Primary,011,C00573378,,H4CO04090,Buck,Kenneth,R.,,,H,CO,04,,,,,,,,
SB23,C00480863,0C2BB198078F47F88DA,,,CCM,Burchett For Congress,,,,,,PO Box 51345,,Knoxville,TN,37950,P2024,,2023-09-12,1000.00,,2024 Primary,011,C00652149,,H8TN02119,Burchett,Tim,,,,H,TN,02,,,,,,,,
SB23,C00480863,5B8647135E6CF2C666E,,,CCM,Burchett For Congress,,,,,,PO Box 51345,,Knoxville,TN,37950,P2024,,2023-09-12,1000.00,,2024 Primary,011,C00652149,,H8TN02119,Burchett,Tim,,,,H,TN,02,,,,,,,,
SB23,C00480863,FD34B25FBC7420597DB,,,CCM,Captain Higgins For Congress,,,,,,PO Box 61747,,Lafayette,LA,70596,P2024,,2023-09-14,2500.00,,2024 Primary,011,C00617662,,H6LA03148,Higgins,Clay,,,,H,LA,03,,,,,,,,
SB23,C00480863,8F9025FC09B55BDD271,,,CCM,Chuck Edwards For Congress,,,,,,337 N Main St,,Hendersonville,NC,28792,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00796433,,H2NC14050,Edwards,Charles,Marion,,,H,NC,11,,,,,,,,
SB23,C00480863,E2345D2150C146E9392,,,CCM,Citizens For John Rutherford,,,,,,3121 Venture Pl,Ste 1,Jacksonville,FL,322576218,P2024,,2023-09-14,2000.00,,2024 Primary,011,C00615294,,H6FL04105,Rutherford,John,H.,,,H,FL,05,,,,,,,,
SB23,C00480863,85C2F99093A23DCC827,,,CCM,Collins For Congress,,,,,,PO Box 6491,,Athens,GA,30604,P2024,,2023-09-19,1000.00,,2024 Primary,011,C00544684,,H4GA10071,Collins,Mike,A.,,Jr.,H,GA,10,,,,,,,,
SB23,C00480863,EFF3739D4DE00247852,,,CCM,Cory Mills For Congress,,,,,,501 N Orlando Ave,"PMB 288, Ste 313",Winter Park,FL,32789,P2024,,2023-09-27,1000.00,,2024 Primary,011,C00774943,,H2FL07156,Mills,Cory,,,,H,FL,07,,,,,,,,
SB23,C00480863,94B67F007B07E21FD56,,,CCM,Daniel Webster For Congress,,,,,,PO Box 1007,,Webster,FL,33597,P2024,,2023-09-27,1000.00,,2024 Primary,011,C00481911,,H0FL08208,Webster,Daniel,Alan,,,H,FL,11,,,,,,,,
SB23,C00480863,1E76692A9AF5B82BAE5,,,CCM,Don Bacon For Congress,,,,,,PO Box 391368,,Omaha,NE,68139,P2024,,2023-09-19,1000.00,,2024 Primary,011,C00575167,,H6NE02125,Bacon,Donald,John,,,H,NE,02,,,,,,,,
SB23,C00480863,F3ED84B4A54CADC445D,,,CCM,Doug Lamalfa Committee,,,,,,9458 Treelake Rd,,Granite Bay,CA,95746,P2024,,2023-09-15,1000.00,,2024 Primary,011,C00509422,,H2CA02142,LaMalfa,Douglas,L.,,,H,CA,01,,,,,,,,
SB23,C00480863,148F46DE1F256FB3021,,,CCM,Fallon For Congress,,,,,,PO Box 614,,Celina,TX,75009,P2024,,2023-09-27,2500.00,,2024 Primary,011,C00750307,,H0TX04219,Fallon,Pat,,,,H,TX,04,,,,,,,,
SB23,C00480863,C1659D2628F80C982E0,,,CCM,Friends Of Bill Posey,,,,,,PO Box 411486,,Melbourne,FL,32941,P2024,,2023-09-27,2500.00,,2024 Primary,011,C00444968,,H8FL15107,Posey,William,,,,H,FL,08,,,,,,,,
SB23,C00480863,ED8F98DA0AAB3F9D9F7,,,CCM,Garret Graves For Congress,,,,,,PO Box 64845,,Baton Rouge,LA,70896,P2024,,2023-09-14,1000.00,,2024 Primary,011,C00558486,,H4LA06153,Graves,Garret,Neal,,,H,LA,06,,,,,,,,
SB23,C00480863,E700EA9C003C0B3200D,,,CCM,Gary Palmer For Congress,,,,,,1919 Oxmoor Rd,# 235,Homewood,AL,35209,P2024,,2023-09-14,100.00,,2024 Primary,011,C00551374,,H4AL06098,Palmer,Gary,James,,,H,AL,06,,,,,,,,
SB23,C00480863,E87D01EF491ECC385DB,,,CCM,Glenn Grothman For Congress,,,,,,PO Box 1215,,Fond Du Lac,WI,549641215,P2024,,2023-09-19,2000.00,,2024 Primary,011,C00561597,,H4WI06048,Grothman,Glenn,S.,,,H,WI,06,,,,,,,,
SB23,C00480863,F7A68850574F1509FE1,,,CCM,Huizenga For Congress,,,,,,PO Box 254,,Zeeland,MI,494641509,P2024,,2023-09-26,3000.00,,2024 Primary,011,C00459297,,H0MI02094,Huizenga,William,Patrick,,,H,MI,04,,,,,,,,
SB23,C00480863,8921BB71FC3612EAA16,,,CCM,Hunt For Congress,,,,,,1707 1/2 Post Oak Blvd,# 525,Houston,TX,77056,P2024,,2023-09-28,1000.00,,2024 Primary,011,C00701003,,H0TX07170,Hunt,Wesley,,,,H,TX,38,,,,,,,,
