form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00433680,500365027,,,ORG,ActBlue Technical Services,,,,,,14 Arrow St,,Cambridge,MA,021385106,G2024,,2024-07-28,197.50,0.00,Credit Card Processing,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365018,,,ORG,Blue Summit Solutions,,,,,,9374 E 60Th Ave,,Denver,CO,802382347,G2024,,2024-07-19,2500.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365019,,,ORG,Chraca Friedman Group,,,,,,220 7Th St NE,,Washington,DC,200026076,G2024,,2024-07-09,5000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365020,,,ORG,Chraca Friedman Group,,,,,,220 7Th St NE,,Washington,DC,200026076,G2024,,2024-07-26,5000.00,0.00,Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365022,,,ORG,First Interstate Bank,,,,,,PO Box 30918,,Billings,MT,591160918,G2024,,2024-07-09,24.50,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365023,,,ORG,First Interstate Bank,,,,,,PO Box 30918,,Billings,MT,591160918,G2024,,2024-07-15,0.48,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365024,,,ORG,First Interstate Bank,,,,,,PO Box 30918,,Billings,MT,591160918,G2024,,2024-07-24,10.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365025,,,ORG,First Interstate Bank,,,,,,PO Box 30918,,Billings,MT,591160918,G2024,,2024-07-26,24.50,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365033,,,ORG,Mastercard,,,,,,PO Box 31616,,Billings,MT,591071616,G2024,,2024-07-03,2401.18,0.00,Credit Card Payment (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365093,500365033,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,1.03,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365094,500365033,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,13.39,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365095,500365033,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,31.93,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365096,500365033,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,74.64,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365097,500365033,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,2224.50,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365098,500365033,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,55.69,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365034,,,ORG,Mastercard,,,,,,PO Box 31616,,Billings,MT,591071616,G2024,,2024-07-25,7590.00,0.00,Credit Card Payment (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365035,,,ORG,Mastercard,,,,,,PO Box 31616,,Billings,MT,591071616,G2024,,2024-07-25,16202.64,0.00,Credit Card Payment (Vendors that aggregate over $200 listed below),,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365085,500365035,SB21B,ORG,Lodge At Whitefish,,,,,,1380 Wisconsin Ave,,Whitefish,MT,599373338,G2024,,2024-07-25,16202.64,0.00,Lodging,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00433680,500365026,,,ORG,Samantha Padavic,,,,,,1011 M St NW,Unit 804,Washington,DC,200015357,G2024,,2024-07-02,1294.04,0.00,Reimbursement,,,,,,,,,,,,,,,,,,,,
SB21B,C00433680,500365031,500365026,SB21B,ORG,Budget Rent A Car,,,,,,4170 US Highway 2 E,,Kalispell,MT,599016576,G2024,,2024-07-02,1294.04,0.00,Rental Car,,,,,,,,,,,,,,,,,,,X,*
