form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00321158,SB23.25214,,,PAC,BIG SKY OPPORTUNITY PAC,,,,,,228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,P2026,,2023-03-08,2500.00,,Contribution,011,C00542027,BIG SKY OPPORTUNITY PAC,,,,,,,,,,,,,,,,,
SB23,C00321158,SB23.25210,,,CCM,BUCKEYE VICTORY FUND,,,,,,PO BOX 183,,HUDSON,WI,54016,P2024,,2023-02-15,2500.00,,Contribution,011,C00694414,BUCKEYE VICTORY FUND,,,,,,,,,,,,,,,,,
SB23,C00321158,SB23.25758,,,CCM,BUDDY CARTER FOR CONGRESS,,,,,,PO BOX 10570,,SAVANNAH,GA,31412,P2024,,2023-06-21,1000.00,,Contribution,011,C00543967,BUDDY CARTER FOR CONGRESS,,,,,,,H,GA,01,,,,,,,,
SB23,C00321158,SB23.25078,,,CCM,CATHY MCMORRIS RODGERS FOR CONGRESS,,,,,,BOX 137,,SPOKANE,WA,99210,P2024,,2023-02-01,1000.00,,Contribution,011,C00390476,CATHY MCMORRIS RODGERS FOR CONGRESS,,,,,,,H,WA,05,,,,,,,,
SB23,C00321158,SB23.25346,,,CCM,CLIFF BENTZ FOR CONGRESS,,,,,,660 MORGAN AVE,,ONTARIO,OR,97914,P2024,,2023-03-20,500.00,,Contribution,011,C00725465,CLIFF BENTZ FOR CONGRESS,,,,,,,H,OR,02,,,,,,,,
SB23,C00321158,SB23.25355,,,CCM,EMMER FOR CONGRESS,,,,,,PO BOX 998,,ANOKA,MN,55303,P2024,,2023-03-27,1000.00,,Contribution,011,C00545749,EMMER FOR CONGRESS,,,,,,,H,MN,06,,,,,,,,
SB23,C00321158,SB23.25076,,,PAC,FRIENDS OF JOHN BARRASSO,,,,,,PO BOX 52008,,CASPER,WY,82605,P2024,,2023-01-25,1500.00,,Contribution,011,C00436386,FRIENDS OF JOHN BARRASSO,,,,,,,,,,,,,,,,,
SB23,C00321158,SB23.25211,,,CCM,MARSHA FOR SENATE,,,,,,PO BOX 3750,,BRENTWOOD,TN,37024,P2024,,2023-02-15,500.00,,Contribution,011,C00376939,MARSHA FOR SENATE,,,,,,,S,TN,00,,,,,,,,
SB23,C00321158,SB23.25345,,,CCM,MICHAEL BURGESS FOR CONGRESS,,,,,,PO BOX 2334,,DENTON,TX,76202,P2024,,2023-03-20,1000.00,,Contribution,011,C00372532,MICHAEL BURGESS FOR CONGRESS,,,,,,,H,TX,26,,,,,,,,
SB23,C00321158,SB23.25618,,,PAC,PROTECT THE HOUSE 2024,,,,,,PO BOX 30844,,BETHESDA,MD,20824,P2024,,2023-06-07,5000.00,,Contribution,011,C00831925,PROTECT THE HOUSE 2024,,,,,,,,,,,,,,,,,
SB23,C00321158,SB23.25755,,,CCM,SCHMITT FOR SENATE,,,,,,101 W ARGONNE DR,#24,SAINT LOUIS,MO,63122,P2028,,2023-06-19,3000.00,,Contribution,011,C00775015,,,,,,,,S,MO,00,,,,,,,,
SB23,C00321158,SB23.25347,,,CCM,"TEAM HERSCHEL, INC",,,,,,P.O. BOX 501707,,ATLANTA,GA,31150,R2022,Runoff,2023-03-22,-5000.00,,Voided lost check for disbursement reported on 12/2/22,011,C00787853,"TEAM HERSCHEL, INC",,,,,,,S,GA,00,,,,,,,,
SB23,C00321158,SB23.25756,,,CCM,VANCE VICTORY,,,,,,228 S. WASHINGTON ST.,STE. 115,ALEXANDRIA,VA,22314,P2028,,2023-06-19,2500.00,,Contribution,011,C00817072,,,,,,,,,,,,,,,,,,
