form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00683250,500434382,,,ORG,American Express,,,,,,200 Vesey St,,New York,NY,102851000,,,2024-03-06,811.11,0.00,Credit Card Payment - Below if Itemized,,,,,,,,,,,,,,,,,,,,
SB21B,C00683250,500434392,500434382,SB21B,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-03-06,9.74,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434393,500434382,SB21B,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-03-06,26.50,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434394,500434382,SB21B,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-03-06,26.50,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434395,500434382,SB21B,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-03-06,5.36,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434396,500434382,SB21B,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-03-06,16.40,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434397,500434382,SB21B,ORG,"Caesar's Entertainment, Inc.",,,,,,100 W Liberty St,,Reno,NV,895011962,,,2024-03-06,24.43,0.00,Meals,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434383,500434382,SB21B,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-06,43.31,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434384,500434382,SB21B,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-06,36.62,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434385,500434382,SB21B,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-06,115.12,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00683250,500434386,500434382,SB21B,ORG,"Uber Technologies, Inc.",,,,,,182 Howard St,# 8,San Francisco,CA,941051611,,,2024-03-06,24.89,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
