form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00540229,SB21B.47027,,,ORG,ADVANCED RESPONSE SYSTEMS,,,,,,13175 GEORGE WEBER DRIVE,,ROGERS,MN,55374,G2024,,2024-10-07,14221.13,,POSTAGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103320,,,ORG,CMDI,,,,,,1593 Spring Hill Rd,#400,Vienna,VA,22182,G2024,,2024-10-04,5545.50,,Database Hosting,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.47028,,,ORG,"FULFILLMENT SOLUTIONS, INC",,,,,,PO BOX 2328,,ASHBURN,VA,20146,G2024,,2024-10-07,14816.50,,POSTAGE,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103317,,,ORG,InfoCision  Inc.,,,,,,325 Springside Dr,,Akron,OH,44333,G2024,,2024-10-07,882.85,,Telephone Marketing,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103318,,,ORG,InfoCision  Inc.,,,,,,325 Springside Dr,,Akron,OH,44333,G2024,,2024-10-07,777.65,,Telephone Marketing,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103319,,,ORG,InfoCision  Inc.,,,,,,325 Springside Dr,,Akron,OH,44333,G2024,,2024-10-07,456.11,,Telephone Marketing,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.47029,,,ORG,RRTV Media,,,,,,3948 3rd St S,Ste 18,Jacksonville,FL,32250,G2024,,2024-10-08,4700.00,,MEDIA,,,,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.101206,,,ORG,RRTV Media,,,,,,3948 3rd St S,Ste 18,Jacksonville,FL,32250,G2024,,2024-10-16,75496.00,,Media Advertisement,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.118080,,,ORG,Stripe,,,,,,185 Berry Street,Suite 550,San Francisco,CA,94107,G2024,,2024-10-16,666.08,,Processing Fees,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.101210,,,ORG,The Silent Partner Marketing,,,,,,4 Creamery Brook,,East Granby,CT,06026,G2024,,2024-10-16,35000.00,,Marketing,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103315,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-01,475.64,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103316,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-01,419.24,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103314,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-02,383.52,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103313,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-03,266.96,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103312,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-04,195.52,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103311,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-07,150.40,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
SB21B,C00540229,SB21B.103309,,,ORG,USPS,,,,,,685 Turnberry Blvd,,Newport News,VA,23608,G2024,,2024-10-08,133.48,,Postage,,C00540229,CONSTITUTIONAL RIGHTS PAC,,,,,,,,,,,,,,,,,
