form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00766204,SB21B.4394,,,ORG,Leech Tishman Fuscaldo & Lampl,,,,,,525 William Penn Place,Floor 28,Pittsburgh,PA,15219,,,2023-11-22,2000.00,,Payment on Account,009,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4377,,,ORG,NationBuilder,,,,,,P.O. Box 811428,,Los Angeles,CA,90081,,,2023-07-10,24.80,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4362,,,ORG,NationBuilder,,,,,,P.O. Box 811428,,Los Angeles,CA,90081,,,2023-07-31,43.87,,Website Hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4370,,,ORG,NationBuilder,,,,,,P.O. Box 811428,,Los Angeles,CA,90081,,,2023-08-30,43.87,,Website Hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4372,,,ORG,NationBuilder,,,,,,P.O. Box 811428,,Los Angeles,CA,90081,,,2023-10-02,43.87,,Website Hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4373,,,ORG,NationBuilder,,,,,,P.O. Box 811428,,Los Angeles,CA,90081,,,2023-10-30,43.87,,Website Hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4374,,,ORG,NationBuilder,,,,,,P.O. Box 811428,,Los Angeles,CA,90081,,,2023-11-30,43.87,,Website Hosting,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4360,,,ORG,Regus Management Group,,,,,,15305 North Dallas Parkway,Suite 400,Addison,TX,75001,,,2023-07-21,99.60,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4364,,,ORG,Regus Management Group,,,,,,15305 North Dallas Parkway,Suite 400,Addison,TX,75001,,,2023-08-21,99.60,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4366,,,ORG,Regus Management Group,,,,,,15305 North Dallas Parkway,Suite 400,Addison,TX,75001,,,2023-09-21,99.60,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4367,,,ORG,Regus Management Group,,,,,,15305 North Dallas Parkway,Suite 400,Addison,TX,75001,,,2023-10-20,99.60,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4368,,,ORG,Regus Management Group,,,,,,15305 North Dallas Parkway,Suite 400,Addison,TX,75001,,,2023-11-20,99.60,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4369,,,ORG,Regus Management Group,,,,,,15305 North Dallas Parkway,Suite 400,Addison,TX,75001,,,2023-12-21,99.60,,Rent,001,,,,,,,,,,,,,,,,,,,
SB21B,C00766204,SB21B.4395,,,ORG,Zac Maybury- Website Development,,,,,,P.O. Box 19332,,Sacramento,PA,95819,,,2023-07-05,312.50,,Payment on Account,009,,,,,,,,,,,,,,,,,,,
