form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00204008,SB23.21217,,,CAN,,BILIRAKIS,GUS M,,,,PO BOX 606,,TARPON SPRINGS,FL,34688,G2024,,2024-09-23,3000.00,,,,C00408534,BILIRAKIS FOR CONGRESS,,,,,,,H,FL,12,,,,,,,,
SB23,C00204008,SB23.21211,,,CAN,,EMMER,THOMAS EARL JR.,,,,PO BOX 279,,ELK RIVER,MN,55330,G2024,,2024-08-29,1000.00,,,,C00545749,EMMER FOR CONGRESS,,,,,,,H,MN,06,,,,,,,,
SB23,C00204008,SB23.21198,,,CAN,,GRIFFITH,H MORGAN,,,,PO BOX 361,,CHRISTIANSBURG,VA,24068,G2024,,2024-09-30,1000.00,,,,C00477240,MORGAN GRIFFITH FOR CONGRESS,,,,,,,H,VA,09,,,,,,,,
SB23,C00204008,SB23.21208,,,CAN,,HERN,KEVIN,,,,9521-B RIVERSIDE PKWY,#350,TULSA,OK,74137,G2024,,2024-09-09,2500.00,,,,C00636092,HERN FOR CONGRESS,,,,,,,H,OK,01,,,,,,,,
SB23,C00204008,SB23.21214,,,CAN,,JOYCE,JOHN,,Dr.,,198 STONEHEDGE ROAD,,HOLLIDAYSBURG,PA,16648,G2024,,2024-07-01,1000.00,,,,C00674259,DR JOHN JOYCE FOR CONGRESS,,,,,,,,,,,,,,,,,
SB23,C00204008,SB23.21205,,,CAN,,LUTTRELL,MORGAN JOE,,,,PO BOX 1245,,MAGNOLIA,TX,77353,G2024,,2024-09-16,2000.00,,,,C00781112,TEXANS FOR MORGAN LUTTRELL,,,,,,,H,TX,08,,,,,,,,
SB23,C00204008,SB23.21300,,,CCM,MORGAN GRIFFITH FOR CONGRESS,,,,,,PO BOX 361,,CHRISTIANSBURG,VA,24068,,,2024-09-30,-1000.00,,Lost in mail,,C00477240,MORGAN GRIFFITH FOR CONGRESS,,,,,,,H,VA,09,,,,,,,,
SB23,C00204008,SB23.21202,,,CAN,,TILLIS,THOM R. SEN.,,,,PO BOX 97396,,RALEIGH,NC,27624,G2024,,2024-09-16,2500.00,,,,C00545772,THOM TILLIS COMMITTEE,,,,,,,S,NC,00,,,,,,,,
SB23,C00204008,SB23.21201,,,CAN,,ZINKE,RYAN K,,,,409 2ND ST W,,WHITEFISH,MT,59937,G2024,,2024-09-30,2000.00,,,,C00550871,ZINKE FOR CONGRESS,,,,,,,H,MT,01,,,,,,,,
SB23,C00204008,SB23.21301,,,CCM,ZINKE FOR CONGRESS,,,,,,PO BOX 1596,,HELENA,MT,59624,,,2024-09-30,-2000.00,,Lost in Mail,,C00550871,ZINKE FOR CONGRESS,H4MT01041,ZINKE,RYAN K,,,,H,MT,01,,,,,,,,
