form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00807412,SB21B.I11171,,,ORG,"ANEDOT, INC.",,,,,,"1340 POYDRAS ST, STE 1770",,NEW ORLEANS,LA,70112,,,2024-08-01,1.30,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11178,,,ORG,BOUCHEE PATISSERIE,,,,,,1600 W LOOP S,,HOUSTON,TX,77027,,,2024-08-01,5.87,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11179,,,ORG,BOUCHEE PATISSERIE,,,,,,1600 W LOOP S,,HOUSTON,TX,77027,,,2024-08-01,7.95,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11180,,,ORG,BOUCHEE PATISSERIE,,,,,,1600 W LOOP S,,HOUSTON,TX,77027,,,2024-08-01,5.95,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11181,,,ORG,BULLFEATHERS,,,,,,410 FIRST ST SE,,WASHINGTON,DC,200031819,,,2024-08-01,35.84,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11227,,,ORG,UBER EATS,,,,,,1455 MARKET ST 400,,SAN FRANCISCO,CA,94103,,,2024-08-01,41.21,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11185,,,ORG,CHILI'S,,,,,,10000 WEST OHARE WAY,,CHICAGO,IL,60666,,,2024-08-02,106.11,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11170,,,ORG,HIGH GROUND STRATEGIES LLC,,,,,,"1501 42ND STREET, SUITE 550",,WEST DES MOINES,IA,50266,,,2024-08-02,5000.00,,CAMPAIGN MANAGEMENT CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11202,,,ORG,KIRBY ICE HOUSE,,,,,,3333 EASTSIDE ST,,HOUSTON,TX,77098,,,2024-08-02,23.40,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11216,,,ORG,THE POST OAK BOUCHEE,,,,,,1600 WEST LOOP SOUTH,,HOUSTON,TX,77027,,,2024-08-02,20.05,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11228,,,ORG,UBER EATS,,,,,,1455 MARKET ST 400,,SAN FRANCISCO,CA,94103,,,2024-08-02,124.31,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11186,,,ORG,CHILI'S,,,,,,10000 WEST OHARE WAY,,CHICAGO,IL,60666,,,2024-08-03,128.45,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11236,,,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,PO BOX 9891,,ARLINGTON,VA,22219,,,2024-08-06,186310.04,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11172,,,ORG,"ANEDOT, INC.",,,,,,"1340 POYDRAS ST, STE 1770",,NEW ORLEANS,LA,70112,,,2024-08-07,4.30,,CREDIT CARD MERCHANT FEES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11194,,,ORG,IAH PARKING,,,,,,2800 N TERMINAL ROAD,,HOUSTON,TX,77032,,,2024-08-08,150.00,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11201,,,ORG,KABOD COFFEE,,,,,,8500 PENA BOULEVARD,,DENVER,CO,80249,,,2024-08-08,9.45,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11203,,,ORG,MASTRO'S STEAKHOUSE,,,,,,1650 W LOOP S,,HOUSTON,TX,77027,,,2024-08-08,1645.56,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11204,,,ORG,MASTRO'S STEAKHOUSE,,,,,,1650 W LOOP S,,HOUSTON,TX,77027,,,2024-08-08,32.00,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11208,,,ORG,RIGHTSIDE COMPLIANCE,,,,,,PO BOX 341027,,AUSTIN,TX,78734,,,2024-08-08,2410.00,,COMPLIANCE CONSULTING,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11191,,,ORG,EL TIEMPO CANTINA,,,,,,322 WESTHEIMER ROAD,,HOUSTON,TX,77006,,,2024-08-09,256.44,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11217,,,ORG,THE POST OAK BOUCHEE,,,,,,1600 WEST LOOP SOUTH,,HOUSTON,TX,77027,,,2024-08-09,26.11,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11234,,,ORG,WILLIE G'S SEAFOOD,,,,,,1640 W LOOP S,,HOUSTON,TX,77027,,,2024-08-09,299.11,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11196,,,ORG,IAH SMART SHOP,,,,,,2800 N TERMINAL ROAD,,HOUSTON,TX,77032,,,2024-08-12,2.48,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11197,,,ORG,INMOTION,,,,,,10000 WEST O'HARE AVE,,CHICAGO,IL,60666,,,2024-08-12,385.86,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11200,,,ORG,JOHNNY'S ITALIAN STEAKHOUSE,,,,,,1300 RIVER DRIVE,,MOLINE,IL,61265,,,2024-08-12,177.40,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11206,,,ORG,MENNA CAB & TOWNCAR SERVICE,,,,,,LAMONTE LANE,,HOUSTON,TX,77018,,,2024-08-12,102.00,,TRAVEL,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11211,,,ORG,SKYBRIDGE RESTAURANT,,,,,,5600 MANNHEIM ROAD,,CHICAGO,IL,60666,,,2024-08-12,5.73,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11218,,,ORG,THE POST OAK BOUCHEE,,,,,,1600 WEST LOOP SOUTH,,HOUSTON,TX,77027,,,2024-08-12,26.52,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11219,,,ORG,THE POST OAK HOTEL,,,,,,1600 W LOOP S,,HOUSTON,TX,770273002,,,2024-08-12,699.83,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
SB21B,C00807412,SB21B.I11220,,,ORG,THE POST OAK HOTEL,,,,,,1600 W LOOP S,,HOUSTON,TX,770273002,,,2024-08-12,6.50,,FOOD/BEVERAGES,,,,,,,,,,,,,  ,,,,,,,
