form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00489427,SB21B.8046,,,ORG,ABH Consulting LLC,,,,,,3410 Alabama Ave.,,Alexandria,VA,22305,P2024,,2023-10-13,2000.00,,Fundraising Consulting Fee,,,,,,,,,,,,,,,,,,,,
SB21B,C00489427,SB21B.8047,,,ORG,ABH Consulting LLC,,,,,,3410 Alabama Ave.,,Alexandria,VA,22305,P2024,,2023-10-13,15790.84,,Itemized:  See Below,,,,,,,,,,,,,,,,,,,,
SB21B,C00489427,SB21B.8047.1,SB21B.8047,SB21B,ORG,"Barfield-Sturgill Ventures, Inc.",,,,,,PO Box 470849,,Lake Monroe,FL,32747,P2024,,2023-09-13,2685.55,,Event Expense - Gifts,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.3,SB21B.8047,SB21B,ORG,Coconuts at the Lake,,,,,,15208 Red Hollow Rd.,,Gravois Mills,MO,65037,P2024,,2023-09-23,784.65,,Event Expense:  Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.4,SB21B.8047,SB21B,ORG,Coconuts at the Lake,,,,,,15208 Red Hollow Rd.,,Gravois Mills,MO,65037,P2024,,2023-09-23,112.74,,Event Expense:  Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.5,SB21B.8047,SB21B,ORG,Zee Express,,,,,,6780 Southwest Freeway,,Houston,TX,77074,P2024,,2023-09-22,1780.00,,Event Expense - Ground Transportation,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.8,SB21B.8047,SB21B,ORG,Celebration Cruises,,,,,,5085 David Drive,,Osage Beach,MO,65065,P2024,,2023-09-22,183.00,,Event Expense - Boat Rental,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.11,SB21B.8047,SB21B,ORG,Lil Rizzo's,,,,,,PO Box 2470,,Lake Ozark,MO,65049,P2024,,2023-09-21,1417.20,,Event Expense - Food & Beverage,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.12,SB21B.8047,SB21B,ORG,Enterprise Rent a Car,,,,,,9636 Natural Bridge Rd.,,Berkeley,MO,63134,P2024,,2023-09-21,673.80,,Rental Car Expense,,,,,,,,,,,,,,,,,,,X,
SB21B,C00489427,SB21B.8047.13,SB21B.8047,SB21B,ORG,Celebration Cruises,,,,,,5085 David Drive,,Osage Beach,MO,65065,P2024,,2023-09-20,5674.00,,Event Expense - Venue,,,,,,,,,,,,,,,,,,,X,
