form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00525055,17411852,,,COM,McMorris Rodgers Win the Future Fund,,,,,,PO Box 2485,,Springfield,VA,22152,,,2023-06-01,7000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00525055,17411855,,,CCM,Cramer for Senate,,,,,,PO Box 396,,Bismarck,ND,585020396,P2024,,2023-06-01,2500.00,0.00,Contribution,011,C00504704,Cramer for Senate,S8ND00120,Cramer,Kevin,,Sen.,,S,ND,,,,,,,,,Contribution
SB23,C00525055,17411856,,,PAC,Responsibility and Freedom Work PAC (RFWPAC),,,,,,PO Box 54,,Jackson,MS,392050054,,,2023-06-01,5000.00,0.00,Contribution,011,C00368696,,S8MS00196,,,,,,,,,,,,,,,,Contribution
SB23,C00525055,17454488,,,CCM,Russ Fulcher for Idaho,,,,,,PO Box 1375,,Meridian,ID,836801375,P2024,,2023-06-19,2500.00,0.00,Contribution,011,C00648295,Russ Fulcher for Idaho,H8ID01124,Fulcher,Russell,,Rep.,,H,ID,01,,,,,,,,Contribution
SB23,C00525055,17454489,,,CCM,Balderson for Congress,,,,,,4679 Winterset Drive,,Columbus,OH,432208113,P2024,,2023-06-19,1000.00,0.00,Contribution,011,C00662650,Balderson for Congress,H8OH12180,Balderson,William,Troy,Rep.,,H,OH,12,,,,,,,,Contribution
SB23,C00525055,17454490,,,CCM,Curtis for Congress,,,,,,PO Box 296,,Provo,UT,84603,P2024,,2023-06-19,1000.00,0.00,Contribution,011,C00647339,Curtis for Congress,H8UT03238,Curtis,John,,Rep.,,H,UT,03,,,,,,,,Contribution
SB23,C00525055,17454491,,,CCM,Citizens to Elect Rick Larsen,,,,,,PO Box 326,,Everett,WA,98206,P2024,,2023-06-19,2000.00,0.00,Contribution,011,C00345546,Citizens to Elect Rick Larsen,H0WA02080,Larsen,Rick,,Rep.,,H,WA,02,,,,,,,,Contribution
SB23,C00525055,17457253,,,PAC,Defend Our Conservative Senate PAC (DOC'S PAC),,,,,,PO Box 26141,,Alexandria,VA,22313,,,2023-06-22,1000.00,0.00,Contribution,011,C00632323,,S0KS00315,,,,,,,,,,,,,,,,Contribution
SB23,C00525055,17457254,,,CCM,Friends of Mark Warner,,,,,,1751 Potomac Greens Drive,,Alexandria,VA,223146233,P2026,,2023-06-22,2500.00,0.00,Contribution,011,C00438713,Friends of Mark Warner,S6VA00093,Warner,Mark,R.,Sen.,,S,VA,,,,,,,,,Contribution
SB23,C00525055,17457255,,,COM,Barrasso Blackburn Victory Committee,,,,,,"901 N Washington St, Suite 700",,Alexandria,VA,22314,,,2023-06-22,2000.00,0.00,Contribution,011,,,,,,,,,,,,,,,,,,,Contribution
SB23,C00525055,17458357,,,COM,Vance Victory,,,,,,"228 S. Washington St., Ste. 115",,Alexandria,VA,22314,,,2023-06-26,2000.00,0.00,Contribution - 2022 General Debt Retirement,011,,,,,,,,,,,,,,,,,,,Contribution - 2022 General Debt Retirement
SB23,C00525055,17458359,,,PAC,Heartland Values PAC,,,,,,PO Box 505,,Sioux Falls,SD,57101,,,2023-06-26,5000.00,0.00,Contribution,011,C00409003,,S2SD00068,,,,,,,,,,,,,,,,Contribution
SB23,C00525055,17459020,,,CCM,Joni for Iowa,,,,,,PO Box 93441,,Des Moines,IA,50393,P2026,,2023-06-28,1000.00,0.00,Contribution,011,C00546788,Joni for Iowa,S4IA00129,Ernst,Joni,K.,Sen.,,S,IA,,,,,,,,,Contribution
SB23,C00525055,17459021,,,CCM,Kaine for Virginia,,,,,,1751 Potomac Greens Drive,,Alexandria,VA,223146233,P2024,,2023-06-28,4000.00,0.00,Contribution,011,C00495358,Kaine for Virginia,S2VA00142,Kaine,Timothy,Michael,Sen.,,S,VA,,,,,,,,,Contribution
