form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00074799,11671716,,,ORG,Ohio Bankers League,,,,,,4249 Easton Way,,Columbus,OH,43219,,,2023-12-26,884.16,0.00,Reimbursment,001,,,,,,,,,,,,,,,,,,,Reimbursment
SB29,C00074799,11674076,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-10-03,55.95,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674077,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-10-03,187.90,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674078,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-10-12,15.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674079,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-11-03,5.95,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674080,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-11-03,47.95,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674081,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-11-13,15.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674082,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-12-04,25.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674083,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-12-04,55.95,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674084,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-12-05,22.95,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
SB29,C00074799,11674085,,,ORG,Merchant BankCD,,,,,,15423 W 100th Terrace,,Lenexa,KS,66219,,,2023-12-18,15.00,0.00,Bank Fees,001,,,,,,,,,,,,,,,,,,,Bank Fees
