form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00685289,BE94,,,ORG,C PLUS K LLC,,,,,,"1640 Rhode Island Ave. NW, STE 600",,Washington,DC,20036,G2024,,2024-09-03,97000.00,2024-09-26,338208.55,Digital Ads,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE95,,,ORG,C PLUS K LLC,,,,,,"1640 Rhode Island Ave. NW, STE 600",,Washington,DC,20036,G2024,,2024-09-03,97000.00,2024-09-26,338208.55,Digital Ads,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE92,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-06-30,4.96,2024-08-08,144489.01,Staff Time for Email to Voters,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE93,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-06-30,4.96,2024-08-08,144489.01,Staff Time for Email to Voters,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE90,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-07-31,95.82,2024-08-08,144489.01,Staff Time for Email to Voters,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE91,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-07-31,95.82,2024-08-08,144489.01,Staff Time for Email to Voters,24E,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE114,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-08-07,83.51,2024-09-10,338208.55,Staff Time for Newsletter,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE115,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-08-07,83.51,2024-09-10,338208.55,Staff Time for Newsletter,24E,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE116,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-08-29,3.88,2024-09-10,338208.55,Staff Time for Press Release,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE117,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-08-29,3.88,2024-09-10,144489.01,Staff Time for Press Release,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,BE107,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,375.00,2024-09-30,338208.55,Staff Time for Canvassing,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE108,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,375.00,2024-09-30,144489.01,Staff Time for Canvassing,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE109,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,375.00,2024-09-30,338208.55,Staff Time for Canvassing,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE110,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,375.00,2024-09-30,144489.01,Staff Time for Canvassing,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE111,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,250.00,2024-09-30,45560.95,Staff Time for Canvassing,24E,C00655613,S,,Lee,Susie,,,,H,03,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE112,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,250.00,2024-09-30,45560.96,Staff Time for Canvassing,24E,,S,,Horsford,Steven,,,,H,04,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE113,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-01,250.00,2024-09-30,45560.95,Staff Time for Canvassing,24E,,S,,Titus,Dina,,,,H,01,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE153,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-03,24.60,2024-09-03,144489.01,Email Newsletter,,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE154,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-03,24.59,2024-09-03,144489.01,Email Newsletter,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE157,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-03,77.64,2024-09-03,144489.01,Email Newsletter,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE158,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-03,77.64,2024-09-03,144489.01,Email Newsletter,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE119,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-04,77.64,2024-09-04,144489.01,Email Newsletter,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE120,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-04,77.64,2024-09-04,144489.01,Email Newsletter,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE155,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-09,49.19,2024-09-09,338208.55,Staff Time,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE156,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-09,49.19,2024-09-09,338208.55,Staff Time,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE159,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-09,3.88,2024-09-09,338208.55,Press Release,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE160,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-09,3.88,2024-09-09,338208.55,Press Release,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE161,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-10,3.84,2024-09-10,338208.55,Press Release,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,BE162,,,ORG,Nevada Advocates for Planned Parenthood Affiliates,,,,,,"550 W. Plumb Lane, Suite B #102",,Reno,NV,89509,G2024,,2024-09-10,3.84,2024-09-10,338208.55,Press Release,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,X
SE,C00685289,XEALC54,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,294.51,2024-09-01,338208.55,Staff Time for Canvassing,24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC52,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,294.50,2024-09-01,338208.55,Staff Time for Canvassing,24A,,O,,Trump,Donald,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC53,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,294.50,2024-09-01,144489.01,Staff Time for Canvassing,24A,,O,,Brown,Sam,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC55,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,294.51,2024-09-01,144489.01,Staff Time for Canvassing,24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC56,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,196.33,2024-09-01,45560.95,Staff Time for Canvassing,24E,C00655613,S,,Lee,Susie,,,,H,03,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC57,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,196.33,2024-09-01,45560.96,Staff Time for Canvassing,24E,,S,,Horsford,Steven,,,,H,04,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC58,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,196.33,2024-09-01,45560.95,Staff Time for Canvassing,24E,,S,,Titus,Dina,,,,H,01,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC59,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,171.93,2024-09-01,338208.55,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24E,,S,,Harris,Kamala,,,,P,00,,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC60,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,171.93,2024-09-01,144489.01,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24E,,S,,Rosen,Jacky,,,,S,,NV,Harmon,Lindsey,,,,2024-10-15,
SE,C00685289,XEALC61,,,COM,Planned Parenthood Votes,,,,,,"123 Williams Street, 10th Floor",,New York,NY,10038,G2024,,2024-09-01,114.62,2024-09-01,45560.95,Staff Time for Canvassing (actuals for estimate filed on 9/3/24),24E,C00655613,S,,Lee,Susie,,,,H,03,NV,Harmon,Lindsey,,,,2024-10-15,
