form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00749143,B-591020,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-10-02,2000.00,,Software Subscription,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-591019,,,ORG,Nuvei Technologies,,,,,,1375 North Scottsdale Road,,Scottsdale,AZ,85257,,,2024-10-02,73.18,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600059,,,COM,Democracy Engine,,,,,,237 Florida Ave NW,,Washington,DC,20001,,,2024-10-07,1146.50,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-598093,,,ORG,Nuvei Technologies,,,,,,1375 North Scottsdale Road,,Scottsdale,AZ,85257,,,2024-10-09,28.59,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-598094,,,ORG,Nuvei Technologies,,,,,,1375 North Scottsdale Road,,Scottsdale,AZ,85257,,,2024-10-10,39.91,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-598092,,,ORG,"CommonCentsConsulting, LLC",,,,,,PO Box 26430,,Tempe,AZ,85285,,,2024-10-18,2124.73,,Compliance & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600060,,,ORG,Amalgamated Bank,,,,,,10 E 14th St,,New York,NY,10003,,,2024-10-29,77.50,,Bank Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600061,,,ORG,Integrated Solutions: Political,,,,,,4142 Adams Avenue,Suite 103-550,San Diego,CA,92116,,,2024-11-04,2000.00,,Software Subscription,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600062,,,ORG,Nuvei Technologies,,,,,,1375 North Scottsdale Road,,Scottsdale,AZ,85257,,,2024-11-04,65.80,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600063,,,ORG,"CommonCentsConsulting, LLC",,,,,,PO Box 26430,,Tempe,AZ,85285,,,2024-11-13,2121.55,,Compliance & Accounting Services,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600065,,,ORG,Nuvei Technologies,,,,,,1375 North Scottsdale Road,,Scottsdale,AZ,85257,,,2024-11-13,47.06,,Merchant Fee,001,,,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-600064,,,PAC,Resist This PAC,,,,,,107 Grand St 7th Floor,,New York,NY,10013,,,2024-11-14,50000.00,,Contribution,001,,Resist This PAC,,,,,,,,,,,,,,,,,
SB21B,C00749143,B-601897,,,COM,Democracy Engine,,,,,,237 Florida Ave NW,,Washington,DC,20001,,,2024-11-19,1190.58,,Credit Card Processing Fees,001,,,,,,,,,,,,,,,,,,,
